LETO,DRŽAVA,SPOL,STAROST,INDIKATOR,VREDNOST
2014,Češka,moški,15-24,Sekundarna(3-4),52.9
2014,Češka,moški,15-24,Terciarna(5-8),30.7
2015,Češka,moški,15-24,Primarna(0-2),6.8
2015,Češka,moški,15-24,Sekundarna(3-4),55.9
2015,Češka,moški,15-24,Terciarna(5-8),31.4
2016,Češka,moški,15-24,Primarna(0-2),6.6
2016,Češka,moški,15-24,Sekundarna(3-4),58.8
2016,Češka,moški,15-24,Terciarna(5-8),40.1
2017,Češka,moški,15-24,Primarna(0-2),8.4
2017,Češka,moški,15-24,Sekundarna(3-4),58.1
2017,Češka,moški,15-24,Terciarna(5-8),41.4
2018,Češka,moški,15-24,Primarna(0-2),7.8
2018,Češka,moški,15-24,Sekundarna(3-4),57.2
2018,Češka,moški,15-24,Terciarna(5-8),36.1
2019,Češka,moški,15-24,Primarna(0-2),8.4
2019,Češka,moški,15-24,Sekundarna(3-4),57
2019,Češka,moški,15-24,Terciarna(5-8),33.4
2011,Danska,moški,15-24,Primarna(0-2),44
2011,Danska,moški,15-24,Sekundarna(3-4),66.6
2011,Danska,moški,15-24,Terciarna(5-8),68.9
2012,Danska,moški,15-24,Primarna(0-2),41.9
2012,Danska,moški,15-24,Sekundarna(3-4),66.4
2012,Danska,moški,15-24,Terciarna(5-8),66.2
2012,Danska,moški,15-24,Brez odgovora,71.4
2013,Danska,moški,15-24,Primarna(0-2),38.5
2013,Danska,moški,15-24,Sekundarna(3-4),64.5
2013,Danska,moški,15-24,Terciarna(5-8),66.9
2013,Danska,moški,15-24,Brez odgovora,59
2014,Danska,moški,15-24,Primarna(0-2),38.8
2014,Danska,moški,15-24,Sekundarna(3-4),65.1
2014,Danska,moški,15-24,Terciarna(5-8),70.1
2014,Danska,moški,15-24,Brez odgovora,42.8
2015,Danska,moški,15-24,Primarna(0-2),40.9
2015,Danska,moški,15-24,Sekundarna(3-4),65.5
2015,Danska,moški,15-24,Terciarna(5-8),71.5
2016,Danska,moški,15-24,Primarna(0-2),41.5
2016,Danska,moški,15-24,Sekundarna(3-4),62.9
2016,Danska,moški,15-24,Terciarna(5-8),69.7
2017,Danska,moški,15-24,Primarna(0-2),41.5
2017,Danska,moški,15-24,Sekundarna(3-4),67.1
2017,Danska,moški,15-24,Terciarna(5-8),76.3
2017,Danska,moški,15-24,Brez odgovora,45.3
2018,Danska,moški,15-24,Primarna(0-2),41.4
2018,Danska,moški,15-24,Sekundarna(3-4),69.6
2018,Danska,moški,15-24,Terciarna(5-8),65.2
2018,Danska,moški,15-24,Brez odgovora,48.5
2019,Danska,moški,15-24,Primarna(0-2),43.9
2019,Danska,moški,15-24,Sekundarna(3-4),70.4
2019,Danska,moški,15-24,Terciarna(5-8),69
2011,Nemčija,moški,15-24,Primarna(0-2),51
2011,Nemčija,moški,15-24,Sekundarna(3-4),66
2011,Nemčija,moški,15-24,Terciarna(5-8),79.1
2011,Nemčija,moški,15-24,Brez odgovora,6.1
2012,Nemčija,moški,15-24,Primarna(0-2),49.4
2012,Nemčija,moški,15-24,Sekundarna(3-4),65.2
2012,Nemčija,moški,15-24,Terciarna(5-8),72.8
2012,Nemčija,moški,15-24,Brez odgovora,5.8
2013,Nemčija,moški,15-24,Primarna(0-2),49.5
2013,Nemčija,moški,15-24,Sekundarna(3-4),64.3
2013,Nemčija,moški,15-24,Terciarna(5-8),74
2013,Nemčija,moški,15-24,Brez odgovora,5
2014,Nemčija,moški,15-24,Primarna(0-2),34.5
2014,Nemčija,moški,15-24,Sekundarna(3-4),63.8
2014,Nemčija,moški,15-24,Terciarna(5-8),72.8
2015,Nemčija,moški,15-24,Primarna(0-2),33.4
2015,Nemčija,moški,15-24,Sekundarna(3-4),63.4
2015,Nemčija,moški,15-24,Terciarna(5-8),70.1
2016,Nemčija,moški,15-24,Primarna(0-2),33.7
2016,Nemčija,moški,15-24,Sekundarna(3-4),63.4
2016,Nemčija,moški,15-24,Terciarna(5-8),69.7
2017,Nemčija,moški,15-24,Primarna(0-2),33.9
2017,Nemčija,moški,15-24,Sekundarna(3-4),64.1
2017,Nemčija,moški,15-24,Terciarna(5-8),68.7
2017,Nemčija,moški,15-24,Brez odgovora,16.1
2018,Nemčija,moški,15-24,Primarna(0-2),35
2018,Nemčija,moški,15-24,Sekundarna(3-4),65.6
2018,Nemčija,moški,15-24,Terciarna(5-8),71.1
2018,Nemčija,moški,15-24,Brez odgovora,26.1
2019,Nemčija,moški,15-24,Primarna(0-2),36.8
2019,Nemčija,moški,15-24,Sekundarna(3-4),67.2
2019,Nemčija,moški,15-24,Terciarna(5-8),74.6
2019,Nemčija,moški,15-24,Brez odgovora,17.9
2011,Estonija,moški,15-24,Primarna(0-2),15.8
2011,Estonija,moški,15-24,Sekundarna(3-4),46.8
2011,Estonija,moški,15-24,Terciarna(5-8),72.3
2012,Estonija,moški,15-24,Primarna(0-2),17.5
2012,Estonija,moški,15-24,Sekundarna(3-4),50.8
2012,Estonija,moški,15-24,Terciarna(5-8),57.8
2013,Estonija,moški,15-24,Primarna(0-2),17.4
2013,Estonija,moški,15-24,Sekundarna(3-4),49.5
2013,Estonija,moški,15-24,Terciarna(5-8),61.6
2014,Estonija,moški,15-24,Primarna(0-2),18.9
2014,Estonija,moški,15-24,Sekundarna(3-4),49.2
2014,Estonija,moški,15-24,Terciarna(5-8),49
2015,Estonija,moški,15-24,Primarna(0-2),20.8
2015,Estonija,moški,15-24,Sekundarna(3-4),56.5
2015,Estonija,moški,15-24,Terciarna(5-8),75.1
2016,Estonija,moški,15-24,Primarna(0-2),18.8
2016,Estonija,moški,15-24,Sekundarna(3-4),60.2
2016,Estonija,moški,15-24,Terciarna(5-8),61.8
2017,Estonija,moški,15-24,Primarna(0-2),20.1
2017,Estonija,moški,15-24,Sekundarna(3-4),66.4
2017,Estonija,moški,15-24,Terciarna(5-8),73.3
2018,Estonija,moški,15-24,Primarna(0-2),22.3
2018,Estonija,moški,15-24,Sekundarna(3-4),67
2018,Estonija,moški,15-24,Terciarna(5-8),92.9
2019,Estonija,moški,15-24,Primarna(0-2),18.2
2019,Estonija,moški,15-24,Sekundarna(3-4),65.2
2019,Estonija,moški,15-24,Terciarna(5-8),81.8
2011,Irska,moški,15-24,Primarna(0-2),12.5
2011,Irska,moški,15-24,Sekundarna(3-4),47
2011,Irska,moški,15-24,Terciarna(5-8),66.2
2011,Irska,moški,15-24,Brez odgovora,54.3
2012,Irska,moški,15-24,Primarna(0-2),11.2
2012,Irska,moški,15-24,Sekundarna(3-4),45
2012,Irska,moški,15-24,Terciarna(5-8),64.2
2013,Irska,moški,15-24,Primarna(0-2),13.5
2013,Irska,moški,15-24,Sekundarna(3-4),49.1
2013,Irska,moški,15-24,Terciarna(5-8),70.7
2014,Irska,moški,15-24,Primarna(0-2),11.8
2014,Irska,moški,15-24,Sekundarna(3-4),51.2
2014,Irska,moški,15-24,Terciarna(5-8),71.5
2014,Irska,moški,15-24,Brez odgovora,53.2
2015,Irska,moški,15-24,Primarna(0-2),12
2015,Irska,moški,15-24,Sekundarna(3-4),54.1
2015,Irska,moški,15-24,Terciarna(5-8),74
2015,Irska,moški,15-24,Brez odgovora,45.8
2016,Irska,moški,15-24,Primarna(0-2),15.9
2016,Irska,moški,15-24,Sekundarna(3-4),57.7
2016,Irska,moški,15-24,Terciarna(5-8),76.1
2016,Irska,moški,15-24,Brez odgovora,54.9
2017,Irska,moški,15-24,Primarna(0-2),11.4
2017,Irska,moški,15-24,Sekundarna(3-4),55.2
2017,Irska,moški,15-24,Terciarna(5-8),77
2017,Irska,moški,15-24,Brez odgovora,50.1
2018,Irska,moški,15-24,Primarna(0-2),11.5
2018,Irska,moški,15-24,Sekundarna(3-4),57.7
2018,Irska,moški,15-24,Terciarna(5-8),78.4
2019,Irska,moški,15-24,Primarna(0-2),11.7
2019,Irska,moški,15-24,Sekundarna(3-4),57.3
2019,Irska,moški,15-24,Terciarna(5-8),80.7
2011,Grčija,moški,15-24,Primarna(0-2),13.9
2011,Grčija,moški,15-24,Sekundarna(3-4),23
2011,Grčija,moški,15-24,Terciarna(5-8),50.6
2012,Grčija,moški,15-24,Primarna(0-2),11.1
2012,Grčija,moški,15-24,Sekundarna(3-4),18.4
2012,Grčija,moški,15-24,Terciarna(5-8),50.3
2013,Grčija,moški,15-24,Primarna(0-2),8.1
2013,Grčija,moški,15-24,Sekundarna(3-4),17
2013,Grčija,moški,15-24,Terciarna(5-8),59.7
2014,Grčija,moški,15-24,Primarna(0-2),9.4
2014,Grčija,moški,15-24,Sekundarna(3-4),18.4
2014,Grčija,moški,15-24,Terciarna(5-8),51.5
2015,Grčija,moški,15-24,Primarna(0-2),8.1
2015,Grčija,moški,15-24,Sekundarna(3-4),18.1
2015,Grčija,moški,15-24,Terciarna(5-8),50
2016,Grčija,moški,15-24,Primarna(0-2),7.1
2016,Grčija,moški,15-24,Sekundarna(3-4),18.3
2016,Grčija,moški,15-24,Terciarna(5-8),45.8
2017,Grčija,moški,15-24,Primarna(0-2),6.9
2017,Grčija,moški,15-24,Sekundarna(3-4),21.2
2017,Grčija,moški,15-24,Terciarna(5-8),41.6
2018,Grčija,moški,15-24,Primarna(0-2),4.9
2018,Grčija,moški,15-24,Sekundarna(3-4),22.6
2018,Grčija,moški,15-24,Terciarna(5-8),46.1
2019,Grčija,moški,15-24,Primarna(0-2),3.9
2019,Grčija,moški,15-24,Sekundarna(3-4),23
2019,Grčija,moški,15-24,Terciarna(5-8),51.3
2011,Španija,moški,15-24,Primarna(0-2),22.9
2011,Španija,moški,15-24,Sekundarna(3-4),22.5
2011,Španija,moški,15-24,Terciarna(5-8),38.1
2012,Španija,moški,15-24,Primarna(0-2),19
2012,Španija,moški,15-24,Sekundarna(3-4),17.4
2012,Španija,moški,15-24,Terciarna(5-8),38.4
2013,Španija,moški,15-24,Primarna(0-2),17.1
2013,Španija,moški,15-24,Sekundarna(3-4),18.2
2013,Španija,moški,15-24,Terciarna(5-8),33.5
2014,Španija,moški,15-24,Primarna(0-2),16.5
2014,Španija,moški,15-24,Sekundarna(3-4),17.8
2014,Španija,moški,15-24,Terciarna(5-8),40.3
2015,Španija,moški,15-24,Primarna(0-2),18.2
2015,Španija,moški,15-24,Sekundarna(3-4),19.1
2015,Španija,moški,15-24,Terciarna(5-8),41.8
2016,Španija,moški,15-24,Primarna(0-2),18.6
2016,Španija,moški,15-24,Sekundarna(3-4),19.3
2016,Španija,moški,15-24,Terciarna(5-8),45.8
2017,Španija,moški,15-24,Primarna(0-2),19.6
2017,Španija,moški,15-24,Sekundarna(3-4),22.1
2017,Španija,moški,15-24,Terciarna(5-8),49.6
2018,Španija,moški,15-24,Primarna(0-2),20.4
2018,Španija,moški,15-24,Sekundarna(3-4),24.2
2018,Španija,moški,15-24,Terciarna(5-8),52.7
2019,Španija,moški,15-24,Primarna(0-2),22.1
2019,Španija,moški,15-24,Sekundarna(3-4),26.8
2019,Španija,moški,15-24,Terciarna(5-8),51.8
2011,Francija,moški,15-24,Primarna(0-2),17.5
2011,Francija,moški,15-24,Sekundarna(3-4),43.9
2011,Francija,moški,15-24,Terciarna(5-8),48.7
2012,Francija,moški,15-24,Primarna(0-2),16.1
2012,Francija,moški,15-24,Sekundarna(3-4),41.4
2012,Francija,moški,15-24,Terciarna(5-8),49.2
2013,Francija,moški,15-24,Primarna(0-2),15.6
2013,Francija,moški,15-24,Sekundarna(3-4),39.6
2013,Francija,moški,15-24,Terciarna(5-8),53.7
2013,Francija,moški,15-24,Brez odgovora,16.3
2014,Francija,moški,15-24,Primarna(0-2),12.6
2014,Francija,moški,15-24,Sekundarna(3-4),38.8
2014,Francija,moški,15-24,Terciarna(5-8),53.7
2014,Francija,moški,15-24,Brez odgovora,43.6
2015,Francija,moški,15-24,Primarna(0-2),11.8
2015,Francija,moški,15-24,Sekundarna(3-4),39.9
2015,Francija,moški,15-24,Terciarna(5-8),56.5
2015,Francija,moški,15-24,Brez odgovora,36.6
2016,Francija,moški,15-24,Primarna(0-2),12.3
2016,Francija,moški,15-24,Sekundarna(3-4),39.8
2016,Francija,moški,15-24,Terciarna(5-8),55.4
2016,Francija,moški,15-24,Brez odgovora,39.8
2017,Francija,moški,15-24,Primarna(0-2),12.3
2017,Francija,moški,15-24,Sekundarna(3-4),40.7
2017,Francija,moški,15-24,Terciarna(5-8),60.1
2017,Francija,moški,15-24,Brez odgovora,38.1
2018,Francija,moški,15-24,Primarna(0-2),12.6
2018,Francija,moški,15-24,Sekundarna(3-4),42.3
2018,Francija,moški,15-24,Terciarna(5-8),62.6
2018,Francija,moški,15-24,Brez odgovora,44.1
2019,Francija,moški,15-24,Primarna(0-2),12.2
2019,Francija,moški,15-24,Sekundarna(3-4),40.8
2019,Francija,moški,15-24,Terciarna(5-8),60.1
2019,Francija,moški,15-24,Brez odgovora,51
2011,Hrvaška,moški,15-24,Primarna(0-2),3.8
2011,Hrvaška,moški,15-24,Sekundarna(3-4),36.3
2011,Hrvaška,moški,15-24,Terciarna(5-8),45.8
2012,Hrvaška,moški,15-24,Primarna(0-2),3
2012,Hrvaška,moški,15-24,Sekundarna(3-4),31.8
2012,Hrvaška,moški,15-24,Terciarna(5-8),33.8
2013,Hrvaška,moški,15-24,Primarna(0-2),2
2013,Hrvaška,moški,15-24,Sekundarna(3-4),28.9
2013,Hrvaška,moški,15-24,Terciarna(5-8),14.2
2014,Hrvaška,moški,15-24,Primarna(0-2),2.4
2014,Hrvaška,moški,15-24,Sekundarna(3-4),34.4
2014,Hrvaška,moški,15-24,Terciarna(5-8),18.5
2015,Hrvaška,moški,15-24,Primarna(0-2),3.2
2015,Hrvaška,moški,15-24,Sekundarna(3-4),34.7
2015,Hrvaška,moški,15-24,Terciarna(5-8),17.1
2016,Hrvaška,moški,15-24,Primarna(0-2),4.6
2016,Hrvaška,moški,15-24,Sekundarna(3-4),43.3
2016,Hrvaška,moški,15-24,Terciarna(5-8),22.1
2017,Hrvaška,moški,15-24,Primarna(0-2),3
2017,Hrvaška,moški,15-24,Sekundarna(3-4),46.2
2017,Hrvaška,moški,15-24,Terciarna(5-8),35.9
2018,Hrvaška,moški,15-24,Primarna(0-2),3.9
2018,Hrvaška,moški,15-24,Sekundarna(3-4),47.2
2018,Hrvaška,moški,15-24,Terciarna(5-8),32.7
2019,Hrvaška,moški,15-24,Primarna(0-2),2.4
2019,Hrvaška,moški,15-24,Sekundarna(3-4),52.3
2019,Hrvaška,moški,15-24,Terciarna(5-8),32
2011,Italija,moški,15-24,Primarna(0-2),14.2
2011,Italija,moški,15-24,Sekundarna(3-4),34.3
2011,Italija,moški,15-24,Terciarna(5-8),20
2012,Italija,moški,15-24,Primarna(0-2),13.1
2012,Italija,moški,15-24,Sekundarna(3-4),32.9
2012,Italija,moški,15-24,Terciarna(5-8),22.9
2013,Italija,moški,15-24,Primarna(0-2),11.4
2013,Italija,moški,15-24,Sekundarna(3-4),28.1
2013,Italija,moški,15-24,Terciarna(5-8),19.1
2014,Italija,moški,15-24,Primarna(0-2),9.9
2014,Italija,moški,15-24,Sekundarna(3-4),28.3
2014,Italija,moški,15-24,Terciarna(5-8),18.1
2015,Italija,moški,15-24,Primarna(0-2),10
2015,Italija,moški,15-24,Sekundarna(3-4),29.4
2015,Italija,moški,15-24,Terciarna(5-8),20.8
2016,Italija,moški,15-24,Primarna(0-2),9.2
2016,Italija,moški,15-24,Sekundarna(3-4),31.5
2016,Italija,moški,15-24,Terciarna(5-8),20
2017,Italija,moški,15-24,Primarna(0-2),9.9
2017,Italija,moški,15-24,Sekundarna(3-4),32.8
2017,Italija,moški,15-24,Terciarna(5-8),19.1
2018,Italija,moški,15-24,Primarna(0-2),10.1
2018,Italija,moški,15-24,Sekundarna(3-4),33.9
2018,Italija,moški,15-24,Terciarna(5-8),23.2
2019,Italija,moški,15-24,Primarna(0-2),10.1
2019,Italija,moški,15-24,Sekundarna(3-4),35.2
2019,Italija,moški,15-24,Terciarna(5-8),22.2
2011,Ciper,moški,15-24,Primarna(0-2),16.7
2011,Ciper,moški,15-24,Sekundarna(3-4),44.9
2011,Ciper,moški,15-24,Terciarna(5-8),52.1
2012,Ciper,moški,15-24,Primarna(0-2),13.8
2012,Ciper,moški,15-24,Sekundarna(3-4),43.4
2012,Ciper,moški,15-24,Terciarna(5-8),62
2013,Ciper,moški,15-24,Primarna(0-2),9.3
2013,Ciper,moški,15-24,Sekundarna(3-4),35.6
2013,Ciper,moški,15-24,Terciarna(5-8),52.5
2014,Ciper,moški,15-24,Primarna(0-2),9.9
2014,Ciper,moški,15-24,Sekundarna(3-4),36.8
2014,Ciper,moški,15-24,Terciarna(5-8),54.7
2015,Ciper,moški,15-24,Primarna(0-2),5.9
2015,Ciper,moški,15-24,Sekundarna(3-4),35.6
2015,Ciper,moški,15-24,Terciarna(5-8),64.5
2016,Ciper,moški,15-24,Primarna(0-2),11.7
2016,Ciper,moški,15-24,Sekundarna(3-4),37.8
2016,Ciper,moški,15-24,Terciarna(5-8),50.6
2017,Ciper,moški,15-24,Primarna(0-2),6.8
2017,Ciper,moški,15-24,Sekundarna(3-4),37.9
2017,Ciper,moški,15-24,Terciarna(5-8),45.2
2018,Ciper,moški,15-24,Primarna(0-2),8.3
2018,Ciper,moški,15-24,Sekundarna(3-4),43.2
2018,Ciper,moški,15-24,Terciarna(5-8),46.4
2019,Ciper,moški,15-24,Primarna(0-2),11.3
2019,Ciper,moški,15-24,Sekundarna(3-4),42.3
2019,Ciper,moški,15-24,Terciarna(5-8),67.6
2011,Latvija,moški,15-24,Primarna(0-2),13
2011,Latvija,moški,15-24,Sekundarna(3-4),43.3
2011,Latvija,moški,15-24,Terciarna(5-8),69.2
2012,Latvija,moški,15-24,Primarna(0-2),14.3
2012,Latvija,moški,15-24,Sekundarna(3-4),47
2012,Latvija,moški,15-24,Terciarna(5-8),68
2013,Latvija,moški,15-24,Primarna(0-2),13.9
2013,Latvija,moški,15-24,Sekundarna(3-4),49.1
2013,Latvija,moški,15-24,Terciarna(5-8),70.2
2014,Latvija,moški,15-24,Primarna(0-2),14.2
2014,Latvija,moški,15-24,Sekundarna(3-4),53.9
2014,Latvija,moški,15-24,Terciarna(5-8),79.3
2015,Latvija,moški,15-24,Primarna(0-2),18.3
2015,Latvija,moški,15-24,Sekundarna(3-4),52
2015,Latvija,moški,15-24,Terciarna(5-8),79
2016,Latvija,moški,15-24,Primarna(0-2),13.9
2016,Latvija,moški,15-24,Sekundarna(3-4),52.8
2016,Latvija,moški,15-24,Terciarna(5-8),64.5
2017,Latvija,moški,15-24,Primarna(0-2),12.9
2017,Latvija,moški,15-24,Sekundarna(3-4),56.5
2017,Latvija,moški,15-24,Terciarna(5-8),69.2
2018,Latvija,moški,15-24,Primarna(0-2),12.6
2018,Latvija,moški,15-24,Sekundarna(3-4),57.9
2018,Latvija,moški,15-24,Terciarna(5-8),92.9
2019,Latvija,moški,15-24,Primarna(0-2),13.5
2019,Latvija,moški,15-24,Sekundarna(3-4),53.4
2019,Latvija,moški,15-24,Terciarna(5-8),90.8
2011,Litva,moški,15-24,Primarna(0-2),6.1
2011,Litva,moški,15-24,Sekundarna(3-4),32.7
2011,Litva,moški,15-24,Terciarna(5-8),64.4
2012,Litva,moški,15-24,Primarna(0-2),5.8
2012,Litva,moški,15-24,Sekundarna(3-4),35.9
2012,Litva,moški,15-24,Terciarna(5-8),65.9
2013,Litva,moški,15-24,Primarna(0-2),6.7
2013,Litva,moški,15-24,Sekundarna(3-4),41.5
2013,Litva,moški,15-24,Terciarna(5-8),73
2014,Litva,moški,15-24,Primarna(0-2),7.8
2014,Litva,moški,15-24,Sekundarna(3-4),45.8
2014,Litva,moški,15-24,Terciarna(5-8),78
2015,Litva,moški,15-24,Primarna(0-2),6.2
2015,Litva,moški,15-24,Sekundarna(3-4),48.3
2015,Litva,moški,15-24,Terciarna(5-8),81.7
2016,Litva,moški,15-24,Primarna(0-2),6.8
2016,Litva,moški,15-24,Sekundarna(3-4),52.1
2016,Litva,moški,15-24,Terciarna(5-8),78.3
2017,Litva,moški,15-24,Primarna(0-2),9.3
2017,Litva,moški,15-24,Sekundarna(3-4),49.5
2017,Litva,moški,15-24,Terciarna(5-8),73.3
2018,Litva,moški,15-24,Primarna(0-2),9.4
2018,Litva,moški,15-24,Sekundarna(3-4),52.6
2018,Litva,moški,15-24,Terciarna(5-8),73.2
2019,Litva,moški,15-24,Primarna(0-2),7.9
2019,Litva,moški,15-24,Sekundarna(3-4),50.3
2019,Litva,moški,15-24,Terciarna(5-8),79
2011,Luksemburg,moški,15-24,Primarna(0-2),14.2
2011,Luksemburg,moški,15-24,Sekundarna(3-4),34.6
2011,Luksemburg,moški,15-24,Terciarna(5-8),44.8
2012,Luksemburg,moški,15-24,Primarna(0-2),16.3
2012,Luksemburg,moški,15-24,Sekundarna(3-4),34.5
2013,Luksemburg,moški,15-24,Primarna(0-2),14.6
2013,Luksemburg,moški,15-24,Sekundarna(3-4),38
2013,Luksemburg,moški,15-24,Terciarna(5-8),47.1
2014,Luksemburg,moški,15-24,Primarna(0-2),17.7
2014,Luksemburg,moški,15-24,Sekundarna(3-4),29.4
2015,Luksemburg,moški,15-24,Primarna(0-2),20.8
2015,Luksemburg,moški,15-24,Sekundarna(3-4),44.1
2015,Luksemburg,moški,15-24,Terciarna(5-8),45.8
2016,Luksemburg,moški,15-24,Primarna(0-2),15.1
2016,Luksemburg,moški,15-24,Sekundarna(3-4),40.4
2016,Luksemburg,moški,15-24,Terciarna(5-8),27.5
2016,Luksemburg,moški,15-24,Brez odgovora,29.2
2017,Luksemburg,moški,15-24,Primarna(0-2),16.1
2017,Luksemburg,moški,15-24,Sekundarna(3-4),45.2
2017,Luksemburg,moški,15-24,Terciarna(5-8),44.1
2017,Luksemburg,moški,15-24,Brez odgovora,30.8
2018,Luksemburg,moški,15-24,Primarna(0-2),17.3
2018,Luksemburg,moški,15-24,Sekundarna(3-4),40.7
2018,Luksemburg,moški,15-24,Terciarna(5-8),50
2018,Luksemburg,moški,15-24,Brez odgovora,49.9
2019,Luksemburg,moški,15-24,Primarna(0-2),19.2
2019,Luksemburg,moški,15-24,Sekundarna(3-4),42.5
2019,Luksemburg,moški,15-24,Terciarna(5-8),56
2011,Madžarska,moški,15-24,Primarna(0-2),6.8
2011,Madžarska,moški,15-24,Sekundarna(3-4),32.9
2011,Madžarska,moški,15-24,Terciarna(5-8),54.4
2012,Madžarska,moški,15-24,Primarna(0-2),6.9
2012,Madžarska,moški,15-24,Sekundarna(3-4),31.8
2012,Madžarska,moški,15-24,Terciarna(5-8),50.9
2013,Madžarska,moški,15-24,Primarna(0-2),7.8
2013,Madžarska,moški,15-24,Sekundarna(3-4),36.9
2013,Madžarska,moški,15-24,Terciarna(5-8),48.2
2014,Madžarska,moški,15-24,Primarna(0-2),10
2014,Madžarska,moški,15-24,Sekundarna(3-4),40.9
2014,Madžarska,moški,15-24,Terciarna(5-8),55.5
2015,Madžarska,moški,15-24,Primarna(0-2),11.8
2015,Madžarska,moški,15-24,Sekundarna(3-4),42
2015,Madžarska,moški,15-24,Terciarna(5-8),54.9
2016,Madžarska,moški,15-24,Primarna(0-2),13.3
2016,Madžarska,moški,15-24,Sekundarna(3-4),47.5
2016,Madžarska,moški,15-24,Terciarna(5-8),66.4
2017,Madžarska,moški,15-24,Primarna(0-2),12.4
2017,Madžarska,moški,15-24,Sekundarna(3-4),50.5
2017,Madžarska,moški,15-24,Terciarna(5-8),66.4
2018,Madžarska,moški,15-24,Primarna(0-2),13.6
2018,Madžarska,moški,15-24,Sekundarna(3-4),50.6
2018,Madžarska,moški,15-24,Terciarna(5-8),60.6
2019,Madžarska,moški,15-24,Primarna(0-2),13.3
2019,Madžarska,moški,15-24,Sekundarna(3-4),49.3
2019,Madžarska,moški,15-24,Terciarna(5-8),63
2011,Malta,moški,15-24,Primarna(0-2),44.2
