"AGE,""TIME"",""GEO"",""SEX"",""REASON"",""UNIT"",""Value"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""27.7"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Probationary period"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""11.9"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""No response"",""Percentage of employees"",""4.6"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""No response"",""Percentage of employees with a temporary job"",""36.3"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""2.0"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""37.8"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Probationary period"",""Percentage of employees"",""2.1"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""39.0"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""No response"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2011"",""Estonia"",""Males"",""No response"",""Percentage of employees with a temporary job"",""14.4"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""22.9"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Probationary period"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""58.9"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Estonia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""33.4"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""8.6"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""3.3"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""No response"",""Percentage of employees"",""5.1"""
"From 20 to 64 years,""2011"",""Ireland"",""Males"",""No response"",""Percentage of employees with a temporary job"",""54.7"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Could not find permanent job"",""Percentage of employees"",""2.9"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""29.4"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""10.2"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""3.0"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""No response"",""Percentage of employees"",""5.7"""
"From 20 to 64 years,""2011"",""Ireland"",""Females"",""No response"",""Percentage of employees with a temporary job"",""57.4"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Could not find permanent job"",""Percentage of employees"",""8.1"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""76.5"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.1"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""In education or training"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""4.4"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Probationary period"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""4.3"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""No response"",""Percentage of employees"",""1.3"""
"From 20 to 64 years,""2011"",""Greece"",""Males"",""No response"",""Percentage of employees with a temporary job"",""11.8"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees"",""9.9"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""76.0"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.6"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""In education or training"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""5.2"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Probationary period"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.7"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""No response"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2011"",""Greece"",""Females"",""No response"",""Percentage of employees with a temporary job"",""11.5"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees"",""19.8"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""83.3"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.3"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""In education or training"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""3.4"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Probationary period"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""0.7"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""No response"",""Percentage of employees"",""2.2"""
"From 20 to 64 years,""2011"",""Spain"",""Males"",""No response"",""Percentage of employees with a temporary job"",""9.2"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees"",""21.7"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""84.0"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.2"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""In education or training"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""3.5"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Probationary period"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""0.6"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""No response"",""Percentage of employees"",""2.2"""
"From 20 to 64 years,""2011"",""Spain"",""Females"",""No response"",""Percentage of employees with a temporary job"",""8.6"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees"",""7.2"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""53.9"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""2.9"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.9"""
"From 20 to 64 years,""2011"",""France"",""Males"",""In education or training"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2011"",""France"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""11.6"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Probationary period"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2011"",""France"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""4.3"""
"From 20 to 64 years,""2011"",""France"",""Males"",""No response"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2011"",""France"",""Males"",""No response"",""Percentage of employees with a temporary job"",""8.4"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees"",""9.3"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""60.3"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""2.8"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""18.0"""
"From 20 to 64 years,""2011"",""France"",""Females"",""In education or training"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2011"",""France"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""10.9"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Probationary period"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2011"",""France"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.9"""
"From 20 to 64 years,""2011"",""France"",""Females"",""No response"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""France"",""Females"",""No response"",""Percentage of employees with a temporary job"",""6.8"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""6.2"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""48.9"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""In education or training"",""Percentage of employees"",""6.1"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""48.4"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""2.0"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""6.5"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""48.2"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""In education or training"",""Percentage of employees"",""6.6"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""48.4"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""2.9"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Croatia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Could not find permanent job"",""Percentage of employees"",""8.2"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""69.3"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.2"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""In education or training"",""Percentage of employees"",""2.0"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""17.1"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Probationary period"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""9.9"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""No response"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2011"",""Italy"",""Males"",""No response"",""Percentage of employees with a temporary job"",""0.5"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Could not find permanent job"",""Percentage of employees"",""10.7"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""74.1"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.4"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""In education or training"",""Percentage of employees"",""2.2"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""15.2"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Probationary period"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""7.0"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""No response"",""Percentage of employees"",""0.0"""
"From 20 to 64 years,""2011"",""Italy"",""Females"",""No response"",""Percentage of employees with a temporary job"",""0.2"""
"From 20 to 64 years,""2011"",""Cyprus"",""Males"",""Could not find permanent job"",""Percentage of employees"",""6.4"""
"From 20 to 64 years,""2011"",""Cyprus"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""91.1"""
"From 20 to 64 years,""2011"",""Cyprus"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Cyprus"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Cyprus"",""Males"",""In education or training"",""Percentage of employees"",""0.4"""
