LETO,DRZAVA,SPOL,STAROST,INDIKATOR,VREDNOST
2012,Slovenija,moški,15-24,Delež aktivne populacije,38.1
2012,Slovenija,moški,15-24,Delež celotne populacije,30.4
2012,Slovaška,moški,15-24,Delež aktivne populacije,37.1
2012,Slovaška,moški,15-24,Delež celotne populacije,24.1
2012,Finska,moški,15-24,Delež aktivne populacije,51.2
2012,Finska,moški,15-24,Delež celotne populacije,41
2012,Švedska,moški,15-24,Delež aktivne populacije,51.8
2012,Švedska,moški,15-24,Delež celotne populacije,38.8
2012,Velika Britanija,moški,15-24,Delež aktivne populacije,60.9
2012,Velika Britanija,moški,15-24,Delež celotne populacije,46.4
2013,Belgija,moški,15-24,Delež aktivne populacije,33.7
2013,Belgija,moški,15-24,Delež celotne populacije,25.3
2013,Bolgarija,moški,15-24,Delež aktivne populacije,34.3
2013,Bolgarija,moški,15-24,Delež celotne populacije,24
2013,Češka,moški,15-24,Delež aktivne populacije,36.8
2013,Češka,moški,15-24,Delež celotne populacije,29.9
2013,Danska,moški,15-24,Delež aktivne populacije,57.3
2013,Danska,moški,15-24,Delež celotne populacije,48
2013,Nemčija,moški,15-24,Delež aktivne populacije,52.9
2013,Nemčija,moški,15-24,Delež celotne populacije,48.4
2013,Estonija,moški,15-24,Delež aktivne populacije,41.4
2013,Estonija,moški,15-24,Delež celotne populacije,34
2013,Irska,moški,15-24,Delež aktivne populacije,51.6
2013,Irska,moški,15-24,Delež celotne populacije,36
2013,Grčija,moški,15-24,Delež aktivne populacije,31.6
2013,Grčija,moški,15-24,Delež celotne populacije,14.6
2013,Španija,moški,15-24,Delež aktivne populacije,39.6
2013,Španija,moški,15-24,Delež celotne populacije,17.3
2013,Francija,moški,15-24,Delež aktivne populacije,40.6
2013,Francija,moški,15-24,Delež celotne populacije,30.7
2013,Hrvaška,moški,15-24,Delež aktivne populacije,34.7
2013,Hrvaška,moški,15-24,Delež celotne populacije,17.4
2013,Italija,moški,15-24,Delež aktivne populacije,30.7
2013,Italija,moški,15-24,Delež celotne populacije,18.7
2013,Ciper,moški,15-24,Delež aktivne populacije,40.8
2013,Ciper,moški,15-24,Delež celotne populacije,24
2013,Latvija,moški,15-24,Delež aktivne populacije,42.6
2013,Latvija,moški,15-24,Delež celotne populacije,33.3
2013,Litva,moški,15-24,Delež aktivne populacije,35.8
2013,Litva,moški,15-24,Delež celotne populacije,27.6
2013,Luksemburg,moški,15-24,Delež aktivne populacije,29.8
2013,Luksemburg,moški,15-24,Delež celotne populacije,24.2
2013,Madžarska,moški,15-24,Delež aktivne populacije,31
2013,Madžarska,moški,15-24,Delež celotne populacije,23
2013,Malta,moški,15-24,Delež aktivne populacije,56.6
2013,Malta,moški,15-24,Delež celotne populacije,48.2
2013,Nizozemska,moški,15-24,Delež aktivne populacije,68.4
2013,Nizozemska,moški,15-24,Delež celotne populacije,59.2
2013,Avstrija,moški,15-24,Delež aktivne populacije,62.3
2013,Avstrija,moški,15-24,Delež celotne populacije,56.4
2013,Poljska,moški,15-24,Delež aktivne populacije,38.4
2013,Poljska,moški,15-24,Delež celotne populacije,28.6
2013,Portugalska,moški,15-24,Delež aktivne populacije,36.2
2013,Portugalska,moški,15-24,Delež celotne populacije,22.9
2013,Romunija,moški,15-24,Delež aktivne populacije,35.1
2013,Romunija,moški,15-24,Delež celotne populacije,27
2013,Slovenija,moški,15-24,Delež aktivne populacije,37.1
2013,Slovenija,moški,15-24,Delež celotne populacije,29.7
2013,Slovaška,moški,15-24,Delež aktivne populacije,37.6
2013,Slovaška,moški,15-24,Delež celotne populacije,24.4
2013,Finska,moški,15-24,Delež aktivne populacije,50.8
2013,Finska,moški,15-24,Delež celotne populacije,39.1
2013,Švedska,moški,15-24,Delež aktivne populacije,53.9
2013,Švedska,moški,15-24,Delež celotne populacije,40.5
2013,Velika Britanija,moški,15-24,Delež aktivne populacije,60.2
2013,Velika Britanija,moški,15-24,Delež celotne populacije,46.4
2014,Belgija,moški,15-24,Delež aktivne populacije,32.3
2014,Belgija,moški,15-24,Delež celotne populacije,24.5
2014,Bolgarija,moški,15-24,Delež aktivne populacije,31.5
2014,Bolgarija,moški,15-24,Delež celotne populacije,24
2014,Češka,moški,15-24,Delež aktivne populacije,38.1
2014,Češka,moški,15-24,Delež celotne populacije,32.3
2014,Danska,moški,15-24,Delež aktivne populacije,57.8
2014,Danska,moški,15-24,Delež celotne populacije,48.8
2014,Nemčija,moški,15-24,Delež aktivne populacije,52
2014,Nemčija,moški,15-24,Delež celotne populacije,47.7
2014,Estonija,moški,15-24,Delež aktivne populacije,41.4
2014,Estonija,moški,15-24,Delež celotne populacije,33.4
2014,Irska,moški,15-24,Delež aktivne populacije,50.2
2014,Irska,moški,15-24,Delež celotne populacije,36.9
2014,Grčija,moški,15-24,Delež aktivne populacije,30
2014,Grčija,moški,15-24,Delež celotne populacije,15.8
2014,Španija,moški,15-24,Delež aktivne populacije,37.3
2014,Španija,moški,15-24,Delež celotne populacije,17.4
2014,Francija,moški,15-24,Delež aktivne populacije,39.7
2014,Francija,moški,15-24,Delež celotne populacije,29.7
2014,Hrvaška,moški,15-24,Delež aktivne populacije,38.5
2014,Hrvaška,moški,15-24,Delež celotne populacije,21.2
2014,Italija,moški,15-24,Delež aktivne populacije,31
2014,Italija,moški,15-24,Delež celotne populacije,18.2
2014,Ciper,moški,15-24,Delež aktivne populacije,41.2
2014,Ciper,moški,15-24,Delež celotne populacije,25.8
2014,Latvija,moški,15-24,Delež aktivne populacije,45.3
2014,Latvija,moški,15-24,Delež celotne populacije,36.5
2014,Litva,moški,15-24,Delež aktivne populacije,38.6
2014,Litva,moški,15-24,Delež celotne populacije,31
2014,Luksemburg,moški,15-24,Delež aktivne populacije,29.6
2014,Luksemburg,moški,15-24,Delež celotne populacije,21.9
2014,Madžarska,moški,15-24,Delež aktivne populacije,33
2014,Madžarska,moški,15-24,Delež celotne populacije,26.4
2014,Malta,moški,15-24,Delež aktivne populacije,53.4
2014,Malta,moški,15-24,Delež celotne populacije,46.1
2014,Nizozemska,moški,15-24,Delež aktivne populacije,67
2014,Nizozemska,moški,15-24,Delež celotne populacije,58.7
2014,Avstrija,moški,15-24,Delež aktivne populacije,60.7
2014,Avstrija,moški,15-24,Delež celotne populacije,54.3
2014,Poljska,moški,15-24,Delež aktivne populacije,38.8
2014,Poljska,moški,15-24,Delež celotne populacije,30
2014,Portugalska,moški,15-24,Delež aktivne populacije,34.8
2014,Portugalska,moški,15-24,Delež celotne populacije,22.9
2014,Romunija,moški,15-24,Delež aktivne populacije,34.8
2014,Romunija,moški,15-24,Delež celotne populacije,26.6
2014,Slovenija,moški,15-24,Delež aktivne populacije,36.6
2014,Slovenija,moški,15-24,Delež celotne populacije,29.5
2014,Slovaška,moški,15-24,Delež aktivne populacije,38
2014,Slovaška,moški,15-24,Delež celotne populacije,26.8
2014,Finska,moški,15-24,Delež aktivne populacije,51.5
2014,Finska,moški,15-24,Delež celotne populacije,39.8
2014,Švedska,moški,15-24,Delež aktivne populacije,54.9
2014,Švedska,moški,15-24,Delež celotne populacije,41.6
2014,Velika Britanija,moški,15-24,Delež aktivne populacije,59.5
2014,Velika Britanija,moški,15-24,Delež celotne populacije,48.2
2015,Belgija,moški,15-24,Delež aktivne populacije,32.8
2015,Belgija,moški,15-24,Delež celotne populacije,25
2015,Bolgarija,moški,15-24,Delež aktivne populacije,30.5
2015,Bolgarija,moški,15-24,Delež celotne populacije,24
2015,Češka,moški,15-24,Delež aktivne populacije,37.4
2015,Češka,moški,15-24,Delež celotne populacije,33.1
2015,Danska,moški,15-24,Delež aktivne populacije,58.1
2015,Danska,moški,15-24,Delež celotne populacije,50.4
2015,Nemčija,moški,15-24,Delež aktivne populacije,50.5
2015,Nemčija,moški,15-24,Delež celotne populacije,46.5
2015,Estonija,moški,15-24,Delež aktivne populacije,45.7
2015,Estonija,moški,15-24,Delež celotne populacije,39.4
2015,Irska,moški,15-24,Delež aktivne populacije,50.1
2015,Irska,moški,15-24,Delež celotne populacije,38.3
2015,Grčija,moški,15-24,Delež aktivne populacije,27.7
2015,Grčija,moški,15-24,Delež celotne populacije,15.2
2015,Španija,moški,15-24,Delež aktivne populacije,36.2
2015,Španija,moški,15-24,Delež celotne populacije,18.6
2015,Francija,moški,15-24,Delež aktivne populacije,40.4
2015,Francija,moški,15-24,Delež celotne populacije,30
2015,Hrvaška,moški,15-24,Delež aktivne populacije,38.2
2015,Hrvaška,moški,15-24,Delež celotne populacije,22.4
2015,Italija,moški,15-24,Delež aktivne populacije,30.4
2015,Italija,moški,15-24,Delež celotne populacije,18.6
2015,Ciper,moški,15-24,Delež aktivne populacije,36.8
2015,Ciper,moški,15-24,Delež celotne populacije,24
2015,Latvija,moški,15-24,Delež aktivne populacije,45.2
2015,Latvija,moški,15-24,Delež celotne populacije,37.1
2015,Litva,moški,15-24,Delež aktivne populacije,36.7
2015,Litva,moški,15-24,Delež celotne populacije,30.8
2015,Luksemburg,moški,15-24,Delež aktivne populacije,36.2
2015,Luksemburg,moški,15-24,Delež celotne populacije,29.4
2015,Madžarska,moški,15-24,Delež aktivne populacije,34.4
2015,Madžarska,moški,15-24,Delež celotne populacije,28.1
2015,Malta,moški,15-24,Delež aktivne populacije,53.7
2015,Malta,moški,15-24,Delež celotne populacije,46.6
2015,Nizozemska,moški,15-24,Delež aktivne populacije,67.5
2015,Nizozemska,moški,15-24,Delež celotne populacije,59.9
2015,Avstrija,moški,15-24,Delež aktivne populacije,60.7
2015,Avstrija,moški,15-24,Delež celotne populacije,54
2015,Poljska,moški,15-24,Delež aktivne populacije,38.4
2015,Poljska,moški,15-24,Delež celotne populacije,30.5
2015,Portugalska,moški,15-24,Delež aktivne populacije,34.2
2015,Portugalska,moški,15-24,Delež celotne populacije,24.1
2015,Romunija,moški,15-24,Delež aktivne populacije,37
2015,Romunija,moški,15-24,Delež celotne populacije,29.4
2015,Slovenija,moški,15-24,Delež aktivne populacije,38.9
2015,Slovenija,moški,15-24,Delež celotne populacije,32
2015,Slovaška,moški,15-24,Delež aktivne populacije,38.3
2015,Slovaška,moški,15-24,Delež celotne populacije,28.4
2015,Finska,moški,15-24,Delež aktivne populacije,51.1
2015,Finska,moški,15-24,Delež celotne populacije,38.1
2015,Švedska,moški,15-24,Delež aktivne populacije,53.8
2015,Švedska,moški,15-24,Delež celotne populacije,42.4
2015,Velika Britanija,moški,15-24,Delež aktivne populacije,60
2015,Velika Britanija,moški,15-24,Delež celotne populacije,50.3
2016,Belgija,moški,15-24,Delež aktivne populacije,30.7
2016,Belgija,moški,15-24,Delež celotne populacije,24
2016,Bolgarija,moški,15-24,Delež aktivne populacije,28
2016,Bolgarija,moški,15-24,Delež celotne populacije,23.1
2016,Češka,moški,15-24,Delež aktivne populacije,37.5
2016,Češka,moški,15-24,Delež celotne populacije,33.8
2016,Danska,moški,15-24,Delež aktivne populacije,57.9
2016,Danska,moški,15-24,Delež celotne populacije,50.1
2016,Nemčija,moški,15-24,Delež aktivne populacije,50.9
2016,Nemčija,moški,15-24,Delež celotne populacije,46.9
2016,Estonija,moški,15-24,Delež aktivne populacije,46.1
2016,Estonija,moški,15-24,Delež celotne populacije,38.8
2016,Irska,moški,15-24,Delež aktivne populacije,52.6
2016,Irska,moški,15-24,Delež celotne populacije,42.2
2016,Grčija,moški,15-24,Delež aktivne populacije,26.4
2016,Grčija,moški,15-24,Delež celotne populacije,14.7
2016,Španija,moški,15-24,Delež aktivne populacije,34.7
2016,Španija,moški,15-24,Delež celotne populacije,19.4
2016,Francija,moški,15-24,Delež aktivne populacije,39.9
2016,Francija,moški,15-24,Delež celotne populacije,29.9
2016,Hrvaška,moški,15-24,Delež aktivne populacije,41.9
2016,Hrvaška,moški,15-24,Delež celotne populacije,28.8
2016,Italija,moški,15-24,Delež aktivne populacije,30.2
2016,Italija,moški,15-24,Delež celotne populacije,19.2
2016,Ciper,moški,15-24,Delež aktivne populacije,35.8
2016,Ciper,moški,15-24,Delež celotne populacije,26.5
2016,Latvija,moški,15-24,Delež aktivne populacije,43.3
2016,Latvija,moški,15-24,Delež celotne populacije,34
2016,Litva,moški,15-24,Delež aktivne populacije,38.7
2016,Litva,moški,15-24,Delež celotne populacije,32.5
2016,Luksemburg,moški,15-24,Delež aktivne populacije,30.4
2016,Luksemburg,moški,15-24,Delež celotne populacije,24.4
2016,Madžarska,moški,15-24,Delež aktivne populacije,36.1
2016,Madžarska,moški,15-24,Delež celotne populacije,31.5
2016,Malta,moški,15-24,Delež aktivne populacije,54.4
2016,Malta,moški,15-24,Delež celotne populacije,48.9
2016,Nizozemska,moški,15-24,Delež aktivne populacije,67.2
2016,Nizozemska,moški,15-24,Delež celotne populacije,59.6
2016,Avstrija,moški,15-24,Delež aktivne populacije,60.2
2016,Avstrija,moški,15-24,Delež celotne populacije,52.9
2016,Poljska,moški,15-24,Delež aktivne populacije,39.8
2016,Poljska,moški,15-24,Delež celotne populacije,32.8
2016,Portugalska,moški,15-24,Delež aktivne populacije,35
2016,Portugalska,moški,15-24,Delež celotne populacije,25.5
2016,Romunija,moški,15-24,Delež aktivne populacije,33.9
2016,Romunija,moški,15-24,Delež celotne populacije,27.2
2016,Slovenija,moški,15-24,Delež aktivne populacije,36.8
2016,Slovenija,moški,15-24,Delež celotne populacije,31.1
2016,Slovaška,moški,15-24,Delež aktivne populacije,39.8
2016,Slovaška,moški,15-24,Delež celotne populacije,31.9
2016,Finska,moški,15-24,Delež aktivne populacije,51.2
2016,Finska,moški,15-24,Delež celotne populacije,40.1
2016,Švedska,moški,15-24,Delež aktivne populacije,54.2
2016,Švedska,moški,15-24,Delež celotne populacije,43.1
2016,Velika Britanija,moški,15-24,Delež aktivne populacije,59.2
2016,Velika Britanija,moški,15-24,Delež celotne populacije,50.4
2017,Belgija,moški,15-24,Delež aktivne populacije,30.6
2017,Belgija,moški,15-24,Delež celotne populacije,24.4
2017,Bolgarija,moški,15-24,Delež aktivne populacije,30.5
2017,Bolgarija,moški,15-24,Delež celotne populacije,26.5
2017,Češka,moški,15-24,Delež aktivne populacije,36.5
2017,Češka,moški,15-24,Delež celotne populacije,33.8
2017,Danska,moški,15-24,Delež aktivne populacije,59.6
2017,Danska,moški,15-24,Delež celotne populacije,51.9
2017,Nemčija,moški,15-24,Delež aktivne populacije,51.3
2017,Nemčija,moški,15-24,Delež celotne populacije,47.4
2017,Estonija,moški,15-24,Delež aktivne populacije,49.7
2017,Estonija,moški,15-24,Delež celotne populacije,42.8
2017,Irska,moški,15-24,Delež aktivne populacije,47.8
2017,Irska,moški,15-24,Delež celotne populacije,40.2
2017,Grčija,moški,15-24,Delež aktivne populacije,26.2
2017,Grčija,moški,15-24,Delež celotne populacije,15.9
2017,Španija,moški,15-24,Delež aktivne populacije,35.1
2017,Španija,moški,15-24,Delež celotne populacije,21.2
2017,Francija,moški,15-24,Delež aktivne populacije,40.3
2017,Francija,moški,15-24,Delež celotne populacije,31
2017,Hrvaška,moški,15-24,Delež aktivne populacije,40.9
2017,Hrvaška,moški,15-24,Delež celotne populacije,29.8
2017,Italija,moški,15-24,Delež aktivne populacije,30
2017,Italija,moški,15-24,Delež celotne populacije,20.1
2017,Ciper,moški,15-24,Delež aktivne populacije,33.2
2017,Ciper,moški,15-24,Delež celotne populacije,24.2
2017,Latvija,moški,15-24,Delež aktivne populacije,42.8
2017,Latvija,moški,15-24,Delež celotne populacije,35
2017,Litva,moški,15-24,Delež aktivne populacije,37.8
2017,Litva,moški,15-24,Delež celotne populacije,32.3
2017,Luksemburg,moški,15-24,Delež aktivne populacije,32.6
2017,Luksemburg,moški,15-24,Delež celotne populacije,27
2017,Madžarska,moški,15-24,Delež aktivne populacije,36.5
2017,Madžarska,moški,15-24,Delež celotne populacije,32.9
2017,Malta,moški,15-24,Delež aktivne populacije,54.5
2017,Malta,moški,15-24,Delež celotne populacije,48.5
2017,Nizozemska,moški,15-24,Delež aktivne populacije,67
2017,Nizozemska,moški,15-24,Delež celotne populacije,61
2017,Avstrija,moški,15-24,Delež aktivne populacije,58.4
2017,Avstrija,moški,15-24,Delež celotne populacije,52.1
2017,Poljska,moški,15-24,Delež aktivne populacije,39.7
2017,Poljska,moški,15-24,Delež celotne populacije,33.9
2017,Portugalska,moški,15-24,Delež aktivne populacije,35.6
2017,Portugalska,moški,15-24,Delež celotne populacije,27.6
2017,Romunija,moški,15-24,Delež aktivne populacije,34.6
2017,Romunija,moški,15-24,Delež celotne populacije,28.4
2017,Slovenija,moški,15-24,Delež aktivne populacije,42.9
2017,Slovenija,moški,15-24,Delež celotne populacije,38.6
2017,Slovaška,moški,15-24,Delež aktivne populacije,39.6
2017,Slovaška,moški,15-24,Delež celotne populacije,32.4
2017,Finska,moški,15-24,Delež aktivne populacije,52.3
2017,Finska,moški,15-24,Delež celotne populacije,41.4
2017,Švedska,moški,15-24,Delež aktivne populacije,54.1
2017,Švedska,moški,15-24,Delež celotne populacije,43.9
2017,Velika Britanija,moški,15-24,Delež aktivne populacije,58.2
2017,Velika Britanija,moški,15-24,Delež celotne populacije,50.3
2018,Belgija,moški,15-24,Delež aktivne populacije,31.4
2018,Belgija,moški,15-24,Delež celotne populacije,26.4
2018,Bolgarija,moški,15-24,Delež aktivne populacije,27.8
2018,Bolgarija,moški,15-24,Delež celotne populacije,24.2
2018,Češka,moški,15-24,Delež aktivne populacije,34.4
2018,Češka,moški,15-24,Delež celotne populacije,32.2
2018,Danska,moški,15-24,Delež aktivne populacije,59.4
2018,Danska,moški,15-24,Delež celotne populacije,52.3
2018,Nemčija,moški,15-24,Delež aktivne populacije,52.5
2018,Nemčija,moški,15-24,Delež celotne populacije,48.8
2018,Estonija,moški,15-24,Delež aktivne populacije,49.6
2018,Estonija,moški,15-24,Delež celotne populacije,43.5
2018,Irska,moški,15-24,Delež aktivne populacije,48.4
2018,Irska,moški,15-24,Delež celotne populacije,41.2
2018,Grčija,moški,15-24,Delež aktivne populacije,25.1
2018,Grčija,moški,15-24,Delež celotne populacije,15.9
2018,Španija,moški,15-24,Delež aktivne populacije,35.1
2018,Španija,moški,15-24,Delež celotne populacije,22.7
2018,Francija,moški,15-24,Delež aktivne populacije,41.1
2018,Francija,moški,15-24,Delež celotne populacije,32.2
2018,Hrvaška,moški,15-24,Delež aktivne populacije,37.9
2018,Hrvaška,moški,15-24,Delež celotne populacije,30.5
2018,Italija,moški,15-24,Delež aktivne populacije,29.9
2018,Italija,moški,15-24,Delež celotne populacije,20.8
2018,Ciper,moški,15-24,Delež aktivne populacije,36.5
2018,Ciper,moški,15-24,Delež celotne populacije,27.3
2018,Latvija,moški,15-24,Delež aktivne populacije,40.5
2018,Latvija,moški,15-24,Delež celotne populacije,35.5
2018,Litva,moški,15-24,Delež aktivne populacije,38.8
2018,Litva,moški,15-24,Delež celotne populacije,34.1
2018,Luksemburg,moški,15-24,Delež aktivne populacije,33.9
2018,Luksemburg,moški,15-24,Delež celotne populacije,28.4
2018,Madžarska,moški,15-24,Delež aktivne populacije,37.1
2018,Madžarska,moški,15-24,Delež celotne populacije,33.4
2018,Malta,moški,15-24,Delež aktivne populacije,55.7
2018,Malta,moški,15-24,Delež celotne populacije,49.5
2018,Nizozemska,moški,15-24,Delež aktivne populacije,68
2018,Nizozemska,moški,15-24,Delež celotne populacije,62.8
2018,Avstrija,moški,15-24,Delež aktivne populacije,59.5
2018,Avstrija,moški,15-24,Delež celotne populacije,53.9
2018,Poljska,moški,15-24,Delež aktivne populacije,39.2
2018,Poljska,moški,15-24,Delež celotne populacije,34.7
2018,Portugalska,moški,15-24,Delež aktivne populacije,36.6
2018,Portugalska,moški,15-24,Delež celotne populacije,29.3
2018,Romunija,moški,15-24,Delež aktivne populacije,34.6
2018,Romunija,moški,15-24,Delež celotne populacije,28.9
2018,Slovenija,moški,15-24,Delež aktivne populacije,42.4
2018,Slovenija,moški,15-24,Delež celotne populacije,38.9
2018,Slovaška,moški,15-24,Delež aktivne populacije,39.7
2018,Slovaška,moški,15-24,Delež celotne populacije,34
2018,Finska,moški,15-24,Delež aktivne populacije,51.5
2018,Finska,moški,15-24,Delež celotne populacije,42.6
2018,Švedska,moški,15-24,Delež aktivne populacije,52.8
2018,Švedska,moški,15-24,Delež celotne populacije,43
2018,Velika Britanija,moški,15-24,Delež aktivne populacije,58.5
2018,Velika Britanija,moški,15-24,Delež celotne populacije,51.4
2019,Belgija,moški,15-24,Delež aktivne populacije,32.5
2019,Belgija,moški,15-24,Delež celotne populacije,27.3
2019,Bolgarija,moški,15-24,Delež aktivne populacije,27.6
2019,Bolgarija,moški,15-24,Delež celotne populacije,25
2019,Češka,moški,15-24,Delež aktivne populacije,33.4
2019,Češka,moški,15-24,Delež celotne populacije,31.6
2019,Danska,moški,15-24,Delež aktivne populacije,60.5
2019,Danska,moški,15-24,Delež celotne populacije,54.2
2019,Nemčija,moški,15-24,Delež aktivne populacije,54.2
2019,Nemčija,moški,15-24,Delež celotne populacije,50.6
2019,Estonija,moški,15-24,Delež aktivne populacije,46.3
2019,Estonija,moški,15-24,Delež celotne populacije,41.4
2019,Irska,moški,15-24,Delež aktivne populacije,48.2
2019,Irska,moški,15-24,Delež celotne populacije,41.4
2019,Grčija,moški,15-24,Delež aktivne populacije,23.9
2019,Grčija,moški,15-24,Delež celotne populacije,15.9
2019,Španija,moški,15-24,Delež aktivne populacije,35.1
2019,Španija,moški,15-24,Delež celotne populacije,24.3
2019,Francija,moški,15-24,Delež aktivne populacije,39.8
2019,Francija,moški,15-24,Delež celotne populacije,31.5
2019,Hrvaška,moški,15-24,Delež aktivne populacije,38.8
2019,Hrvaška,moški,15-24,Delež celotne populacije,33.2
2019,Italija,moški,15-24,Delež aktivne populacije,29.8
