LETO,DRZAVA,SPOL,RAZLOG,INDIKATOR,VREDNOST
2011,Češka,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,21.7
2011,Danska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.9
2011,Danska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,42.5
2011,Danska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.9
2011,Danska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,13.2
2011,Danska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.6
2011,Danska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,38.3
2011,Danska,moški,Poskusna doba,Delež vseh zaposlenih,0.4
2011,Danska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,6
2011,Danska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.4
2011,Danska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,50.6
2011,Danska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.3
2011,Danska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,14.9
2011,Danska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.6
2011,Danska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,30.2
2011,Danska,ženske,Poskusna doba,Delež vseh zaposlenih,0.4
2011,Danska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,4.2
2011,Nemčija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.3
2011,Nemčija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,19.2
2011,Nemčija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,3.5
2011,Nemčija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,29.7
2011,Nemčija,moški,Poskusna doba,Delež vseh zaposlenih,1.7
2011,Nemčija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,14
2011,Nemčija,moški,Ni odgovora,Delež vseh zaposlenih,4.2
2011,Nemčija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,35.1
2011,Nemčija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.7
2011,Nemčija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,21.2
2011,Nemčija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.4
2011,Nemčija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.9
2011,Nemčija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,3.5
2011,Nemčija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,27.7
2011,Nemčija,ženske,Poskusna doba,Delež vseh zaposlenih,1.5
2011,Nemčija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,11.9
2011,Nemčija,ženske,Ni odgovora,Delež vseh zaposlenih,4.6
2011,Nemčija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,36.3
2011,Estonija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2
2011,Estonija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,37.8
2011,Estonija,moški,Poskusna doba,Delež vseh zaposlenih,2.1
2011,Estonija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,39
2011,Estonija,moški,Ni odgovora,Delež vseh zaposlenih,0.8
2011,Estonija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,14.4
2011,Estonija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,0.7
2011,Estonija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,22.9
2011,Estonija,ženske,Poskusna doba,Delež vseh zaposlenih,1.9
2011,Estonija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,58.9
2011,Irska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3.1
2011,Irska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,33.4
2011,Irska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.8
2011,Irska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,8.6
2011,Irska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2011,Irska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.3
2011,Irska,moški,Ni odgovora,Delež vseh zaposlenih,5.1
2011,Irska,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,54.7
2011,Irska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.9
2011,Irska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,29.4
2011,Irska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1
2011,Irska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.2
2011,Irska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2011,Irska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3
2011,Irska,ženske,Ni odgovora,Delež vseh zaposlenih,5.7
2011,Irska,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,57.4
2011,Grčija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,8.1
2011,Grčija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,76.5
2011,Grčija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.3
2011,Grčija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.1
2011,Grčija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.5
2011,Grčija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,4.4
2011,Grčija,moški,Poskusna doba,Delež vseh zaposlenih,0.5
2011,Grčija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,4.3
2011,Grčija,moški,Ni odgovora,Delež vseh zaposlenih,1.3
2011,Grčija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,11.8
2011,Grčija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,9.9
2011,Grčija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,76
2011,Grčija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.5
2011,Grčija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.6
2011,Grčija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.7
2011,Grčija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.2
2011,Grčija,ženske,Poskusna doba,Delež vseh zaposlenih,0.5
2011,Grčija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,3.7
2011,Grčija,ženske,Ni odgovora,Delež vseh zaposlenih,1.5
2011,Grčija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,11.5
2011,Španija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,19.8
2011,Španija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,83.3
2011,Španija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.8
2011,Španija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.3
2011,Španija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.8
2011,Španija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.4
2011,Španija,moški,Poskusna doba,Delež vseh zaposlenih,0.2
2011,Španija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,0.7
2011,Španija,moški,Ni odgovora,Delež vseh zaposlenih,2.2
2011,Španija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,9.2
2011,Španija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,21.7
2011,Španija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,84
2011,Španija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.8
2011,Španija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.2
2011,Španija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.9
2011,Španija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.5
2011,Španija,ženske,Poskusna doba,Delež vseh zaposlenih,0.2
2011,Španija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,0.6
2011,Španija,ženske,Ni odgovora,Delež vseh zaposlenih,2.2
2011,Španija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,8.6
2011,Francija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.2
2011,Francija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,53.9
2011,Francija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.9
2011,Francija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,21.9
2011,Francija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.5
2011,Francija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,11.6
2011,Francija,moški,Poskusna doba,Delež vseh zaposlenih,0.6
2011,Francija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,4.3
2011,Francija,moški,Ni odgovora,Delež vseh zaposlenih,1.1
2011,Francija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,8.4
2011,Francija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,9.3
2011,Francija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,60.3
2011,Francija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.8
2011,Francija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,18
2011,Francija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.7
2011,Francija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,10.9
2011,Francija,ženske,Poskusna doba,Delež vseh zaposlenih,0.6
2011,Francija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,3.9
2011,Francija,ženske,Ni odgovora,Delež vseh zaposlenih,1
2011,Francija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,6.8
2011,Hrvaška,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.2
2011,Hrvaška,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,48.9
2011,Hrvaška,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,6.1
2011,Hrvaška,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,48.4
2011,Hrvaška,moški,Poskusna doba,Delež vseh zaposlenih,0.3
2011,Hrvaška,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,2
2011,Hrvaška,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.5
2011,Hrvaška,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,48.2
2011,Hrvaška,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,6.6
2011,Hrvaška,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,48.4
2011,Hrvaška,ženske,Poskusna doba,Delež vseh zaposlenih,0.4
2011,Hrvaška,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,2.9
2011,Italija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,8.2
2011,Italija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,69.3
2011,Italija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.4
2011,Italija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.2
2011,Italija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2
2011,Italija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,17.1
2011,Italija,moški,Poskusna doba,Delež vseh zaposlenih,1.2
2011,Italija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,9.9
2011,Italija,moški,Ni odgovora,Delež vseh zaposlenih,0.1
2011,Italija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,0.5
2011,Italija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,10.7
2011,Italija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,74.1
2011,Italija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.5
2011,Italija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.4
2011,Italija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.2
2011,Italija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,15.2
2011,Italija,ženske,Poskusna doba,Delež vseh zaposlenih,1
2011,Italija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,7
2011,Italija,ženske,Ni odgovora,Delež vseh zaposlenih,0
2011,Italija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,0.2
2011,Ciper,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.4
2011,Ciper,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,91.1
2011,Ciper,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2011,Ciper,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.2
2011,Ciper,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,20.2
2011,Ciper,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,96.1
2011,Ciper,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2011,Ciper,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,1.8
2011,Latvija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.5
2011,Latvija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,70.1
2011,Latvija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.8
2011,Latvija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,9.9
2011,Latvija,moški,Poskusna doba,Delež vseh zaposlenih,1
2011,Latvija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,13.3
2011,Latvija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.2
2011,Latvija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,76.4
2011,Latvija,ženske,Poskusna doba,Delež vseh zaposlenih,0.8
2011,Latvija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,13.9
2011,Litva,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.2
2011,Litva,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,62
2011,Litva,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,1.1
2011,Litva,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,62.9
2011,Luksemburg,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.1
2011,Luksemburg,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,36.9
2011,Luksemburg,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.6
2011,Luksemburg,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.5
2011,Luksemburg,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.9
2011,Luksemburg,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,15
2011,Luksemburg,moški,Poskusna doba,Delež vseh zaposlenih,1.4
2011,Luksemburg,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,24.8
2011,Luksemburg,moški,Ni odgovora,Delež vseh zaposlenih,0.7
2011,Luksemburg,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,12.8
2011,Luksemburg,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3.5
2011,Luksemburg,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,44.1
2011,Luksemburg,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.2
2011,Luksemburg,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,15.3
2011,Luksemburg,ženske,Poskusna doba,Delež vseh zaposlenih,1.3
2011,Luksemburg,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,16
2011,Luksemburg,ženske,Ni odgovora,Delež vseh zaposlenih,1.4
2011,Luksemburg,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,17.8
2011,Madžarska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.5
2011,Madžarska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,67.7
2011,Madžarska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.4
2011,Madžarska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,14.9
2011,Madžarska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.2
2011,Madžarska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,1.8
2011,Madžarska,moški,Poskusna doba,Delež vseh zaposlenih,1.5
2011,Madžarska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,15.6
2011,Madžarska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.4
2011,Madžarska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,64.5
2011,Madžarska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.3
2011,Madžarska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,16
2011,Madžarska,ženske,Poskusna doba,Delež vseh zaposlenih,1.5
2011,Madžarska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,17.6
2011,Malta,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.5
2011,Malta,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,52.5
2011,Malta,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.7
2011,Malta,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,14.3
2011,Malta,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.5
2011,Malta,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,11
2011,Malta,moški,Poskusna doba,Delež vseh zaposlenih,1
2011,Malta,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,21.2
2011,Malta,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3.9
2011,Malta,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,52.9
2011,Malta,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.2
2011,Malta,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,16.8
2011,Malta,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.9
2011,Malta,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,12.2
2011,Malta,ženske,Poskusna doba,Delež vseh zaposlenih,1.3
2011,Malta,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,17.3
2011,Nizozemska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.3
2011,Nizozemska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,30.3
2011,Nizozemska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.5
2011,Nizozemska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.7
2011,Nizozemska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2011,Nizozemska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2.7
2011,Nizozemska,moški,Poskusna doba,Delež vseh zaposlenih,6.1
2011,Nizozemska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,43.2
2011,Nizozemska,moški,Ni odgovora,Delež vseh zaposlenih,1.8
2011,Nizozemska,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,13
2011,Nizozemska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.6
2011,Nizozemska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,28
2011,Nizozemska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.6
2011,Nizozemska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,9.5
2011,Nizozemska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2011,Nizozemska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2
2011,Nizozemska,ženske,Poskusna doba,Delež vseh zaposlenih,6.8
2011,Nizozemska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,41.9
2011,Nizozemska,ženske,Ni odgovora,Delež vseh zaposlenih,3
2011,Nizozemska,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,18.6
2011,Avstrija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,0.7
2011,Avstrija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,13.4
2011,Avstrija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.6
2011,Avstrija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,48
2011,Avstrija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.2
2011,Avstrija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,21.6
2011,Avstrija,moški,Poskusna doba,Delež vseh zaposlenih,0.9
2011,Avstrija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,17
2011,Avstrija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,0.9
2011,Avstrija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,13.7
2011,Avstrija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,3.1
2011,Avstrija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,47.7
2011,Avstrija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.3
2011,Avstrija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,20.5
2011,Avstrija,ženske,Poskusna doba,Delež vseh zaposlenih,1.2
2011,Avstrija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,18.1
2011,Poljska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,16.9
2011,Poljska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,62.7
2011,Poljska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,4.2
2011,Poljska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.6
2011,Poljska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.3
2011,Poljska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,8.6
2011,Poljska,moški,Poskusna doba,Delež vseh zaposlenih,3.5
2011,Poljska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,13.1
2011,Poljska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,15.9
2011,Poljska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,61.9
2011,Poljska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,3.9
2011,Poljska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.3
2011,Poljska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.5
2011,Poljska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,9.8
2011,Poljska,ženske,Poskusna doba,Delež vseh zaposlenih,3.3
2011,Poljska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,12.9
2011,Portugalska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,18.2
2011,Portugalska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,85.8
2011,Portugalska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.9
2011,Portugalska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,4.2
