"SEX,""AGE"",""GEO"",""TIME"",""ISCED11"",""UNIT"",""Value"""
"Males,""From 15 to 24 years"",""Czechia"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""36.3"""
"Males,""From 15 to 24 years"",""Czechia"",""2011"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""5.1"""
"Males,""From 15 to 24 years"",""Czechia"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""49.5"""
"Males,""From 15 to 24 years"",""Czechia"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""27.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2012"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""5.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""49.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""36.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2013"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""7.5"""
"Males,""From 15 to 24 years"",""Czechia"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""52.9"""
"Males,""From 15 to 24 years"",""Czechia"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""30.7"""
"Males,""From 15 to 24 years"",""Czechia"",""2014"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""6.8"""
"Males,""From 15 to 24 years"",""Czechia"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""55.9"""
"Males,""From 15 to 24 years"",""Czechia"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""31.4"""
"Males,""From 15 to 24 years"",""Czechia"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""6.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""58.8"""
"Males,""From 15 to 24 years"",""Czechia"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""40.1"""
"Males,""From 15 to 24 years"",""Czechia"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""8.4"""
"Males,""From 15 to 24 years"",""Czechia"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""58.1"""
"Males,""From 15 to 24 years"",""Czechia"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""41.4"""
"Males,""From 15 to 24 years"",""Czechia"",""2017"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""7.8"""
"Males,""From 15 to 24 years"",""Czechia"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""57.2"""
"Males,""From 15 to 24 years"",""Czechia"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""36.1"""
"Males,""From 15 to 24 years"",""Czechia"",""2018"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""8.4"""
"Males,""From 15 to 24 years"",""Czechia"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""57.0"""
"Males,""From 15 to 24 years"",""Czechia"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""33.4"""
"Males,""From 15 to 24 years"",""Czechia"",""2019"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Denmark"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""44.0"""
"Males,""From 15 to 24 years"",""Denmark"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""66.6"""
"Males,""From 15 to 24 years"",""Denmark"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""68.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2011"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Denmark"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""41.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""66.4"""
"Males,""From 15 to 24 years"",""Denmark"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""66.2"""
"Males,""From 15 to 24 years"",""Denmark"",""2012"",""No response"",""Percentage"",""71.4"""
"Males,""From 15 to 24 years"",""Denmark"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""38.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""64.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""66.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2013"",""No response"",""Percentage"",""59.0"""
"Males,""From 15 to 24 years"",""Denmark"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""38.8"""
"Males,""From 15 to 24 years"",""Denmark"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""65.1"""
"Males,""From 15 to 24 years"",""Denmark"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""70.1"""
"Males,""From 15 to 24 years"",""Denmark"",""2014"",""No response"",""Percentage"",""42.8"""
"Males,""From 15 to 24 years"",""Denmark"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""40.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""65.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""71.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Denmark"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""41.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""62.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""69.7"""
"Males,""From 15 to 24 years"",""Denmark"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Denmark"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""41.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""67.1"""
"Males,""From 15 to 24 years"",""Denmark"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""76.3"""
"Males,""From 15 to 24 years"",""Denmark"",""2017"",""No response"",""Percentage"",""45.3"""
"Males,""From 15 to 24 years"",""Denmark"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""41.4"""
"Males,""From 15 to 24 years"",""Denmark"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""69.6"""
"Males,""From 15 to 24 years"",""Denmark"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""65.2"""
"Males,""From 15 to 24 years"",""Denmark"",""2018"",""No response"",""Percentage"",""48.5"""
"Males,""From 15 to 24 years"",""Denmark"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""43.9"""
"Males,""From 15 to 24 years"",""Denmark"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""70.4"""
"Males,""From 15 to 24 years"",""Denmark"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""69.0"""
"Males,""From 15 to 24 years"",""Denmark"",""2019"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""51.0"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""66.0"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""79.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2011"",""No response"",""Percentage"",""6.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""49.4"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""65.2"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""72.8"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2012"",""No response"",""Percentage"",""5.8"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""49.5"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""64.3"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""74.0"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2013"",""No response"",""Percentage"",""5.0"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""34.5"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""63.8"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""72.8"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2014"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""33.4"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""63.4"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""70.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""33.7"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""63.4"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""69.7"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""33.9"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""64.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""68.7"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2017"",""No response"",""Percentage"",""16.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""35.0"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""65.6"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""71.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2018"",""No response"",""Percentage"",""26.1"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""36.8"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""67.2"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""74.6"""
"Males,""From 15 to 24 years"",""Germany (until 1990 former territory of the FRG)"",""2019"",""No response"",""Percentage"",""17.9"""
"Males,""From 15 to 24 years"",""Estonia"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""15.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""46.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""72.3"""
"Males,""From 15 to 24 years"",""Estonia"",""2011"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""17.5"""
"Males,""From 15 to 24 years"",""Estonia"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""50.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""57.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2012"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""17.4"""
"Males,""From 15 to 24 years"",""Estonia"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""49.5"""
"Males,""From 15 to 24 years"",""Estonia"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""61.6"""
"Males,""From 15 to 24 years"",""Estonia"",""2013"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""18.9"""
"Males,""From 15 to 24 years"",""Estonia"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""49.2"""
"Males,""From 15 to 24 years"",""Estonia"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""49.0"""
"Males,""From 15 to 24 years"",""Estonia"",""2014"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""20.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""56.5"""
"Males,""From 15 to 24 years"",""Estonia"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""75.1"""
"Males,""From 15 to 24 years"",""Estonia"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""18.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""60.2"""
"Males,""From 15 to 24 years"",""Estonia"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""61.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""20.1"""
"Males,""From 15 to 24 years"",""Estonia"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""66.4"""
"Males,""From 15 to 24 years"",""Estonia"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""73.3"""
"Males,""From 15 to 24 years"",""Estonia"",""2017"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""22.3"""
"Males,""From 15 to 24 years"",""Estonia"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""67.0"""
"Males,""From 15 to 24 years"",""Estonia"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""92.9"""
"Males,""From 15 to 24 years"",""Estonia"",""2018"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Estonia"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""18.2"""
"Males,""From 15 to 24 years"",""Estonia"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""65.2"""
"Males,""From 15 to 24 years"",""Estonia"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""81.8"""
"Males,""From 15 to 24 years"",""Estonia"",""2019"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Ireland"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""12.5"""
