"AGE,""SEX"",""TIME"",""GEO"",""UNIT"",""INDIC_EM"",""Value"""
"From 15 to 24 years,""Males"",""2006"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""36.8"""
"From 15 to 24 years,""Males"",""2006"",""Ireland"",""Percentage of total population"",""Active population"",""74.2"""
"From 15 to 24 years,""Males"",""2006"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""67.3"""
"From 15 to 24 years,""Males"",""2006"",""Greece"",""Percentage of total population"",""Active population"",""35.8"""
"From 15 to 24 years,""Males"",""2006"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.5"""
"From 15 to 24 years,""Males"",""2006"",""Spain"",""Percentage of total population"",""Active population"",""52.2"""
"From 15 to 24 years,""Males"",""2006"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""44.4"""
"From 15 to 24 years,""Males"",""2006"",""France"",""Percentage of total population"",""Active population"",""41.7"""
"From 15 to 24 years,""Males"",""2006"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.9"""
"From 15 to 24 years,""Males"",""2006"",""Croatia"",""Percentage of total population"",""Active population"",""40.8"""
"From 15 to 24 years,""Males"",""2006"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.0"""
"From 15 to 24 years,""Males"",""2006"",""Italy"",""Percentage of total population"",""Active population"",""37.6"""
"From 15 to 24 years,""Males"",""2006"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.4"""
"From 15 to 24 years,""Males"",""2006"",""Cyprus"",""Percentage of total population"",""Active population"",""45.0"""
"From 15 to 24 years,""Males"",""2006"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""41.0"""
"From 15 to 24 years,""Males"",""2006"",""Latvia"",""Percentage of total population"",""Active population"",""47.5"""
"From 15 to 24 years,""Males"",""2006"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""41.8"""
"From 15 to 24 years,""Males"",""2006"",""Lithuania"",""Percentage of total population"",""Active population"",""29.1"""
"From 15 to 24 years,""Males"",""2006"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.2"""
"From 15 to 24 years,""Males"",""2006"",""Luxembourg"",""Percentage of total population"",""Active population"",""30.6"""
"From 15 to 24 years,""Males"",""2006"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.4"""
"From 15 to 24 years,""Males"",""2006"",""Hungary"",""Percentage of total population"",""Active population"",""30.2"""
"From 15 to 24 years,""Males"",""2006"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.6"""
"From 15 to 24 years,""Males"",""2006"",""Malta"",""Percentage of total population"",""Active population"",""56.8"""
"From 15 to 24 years,""Males"",""2006"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""47.5"""
"From 15 to 24 years,""Males"",""2006"",""Netherlands"",""Percentage of total population"",""Active population"",""68.1"""
"From 15 to 24 years,""Males"",""2006"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""61.3"""
"From 15 to 24 years,""Males"",""2006"",""Austria"",""Percentage of total population"",""Active population"",""61.8"""
"From 15 to 24 years,""Males"",""2006"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""55.8"""
"From 15 to 24 years,""Males"",""2006"",""Poland"",""Percentage of total population"",""Active population"",""37.5"""
"From 15 to 24 years,""Males"",""2006"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.9"""
"From 15 to 24 years,""Males"",""2006"",""Portugal"",""Percentage of total population"",""Active population"",""45.5"""
"From 15 to 24 years,""Males"",""2006"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.7"""
"From 15 to 24 years,""Males"",""2006"",""Romania"",""Percentage of total population"",""Active population"",""35.1"""
"From 15 to 24 years,""Males"",""2006"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.3"""
"From 15 to 24 years,""Males"",""2006"",""Slovenia"",""Percentage of total population"",""Active population"",""44.4"""
"From 15 to 24 years,""Males"",""2006"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.2"""
"From 15 to 24 years,""Males"",""2006"",""Slovakia"",""Percentage of total population"",""Active population"",""39.7"""
"From 15 to 24 years,""Males"",""2006"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.2"""
"From 15 to 24 years,""Males"",""2006"",""Finland"",""Percentage of total population"",""Active population"",""52.6"""
"From 15 to 24 years,""Males"",""2006"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.6"""
"From 15 to 24 years,""Males"",""2006"",""Sweden"",""Percentage of total population"",""Active population"",""50.8"""
"From 15 to 24 years,""Males"",""2006"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""40.2"""
"From 15 to 24 years,""Males"",""2006"",""United Kingdom"",""Percentage of total population"",""Active population"",""64.9"""
"From 15 to 24 years,""Males"",""2006"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""54.7"""
"From 15 to 24 years,""Males"",""2007"",""Belgium"",""Percentage of total population"",""Active population"",""36.1"""
"From 15 to 24 years,""Males"",""2007"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.9"""
"From 15 to 24 years,""Males"",""2007"",""Bulgaria"",""Percentage of total population"",""Active population"",""31.7"""
"From 15 to 24 years,""Males"",""2007"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.1"""
"From 15 to 24 years,""Males"",""2007"",""Czechia"",""Percentage of total population"",""Active population"",""36.7"""
"From 15 to 24 years,""Males"",""2007"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.8"""
"From 15 to 24 years,""Males"",""2007"",""Denmark"",""Percentage of total population"",""Active population"",""72.0"""
"From 15 to 24 years,""Males"",""2007"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""66.5"""
"From 15 to 24 years,""Males"",""2007"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""54.0"""
"From 15 to 24 years,""Males"",""2007"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""47.2"""
"From 15 to 24 years,""Males"",""2007"",""Estonia"",""Percentage of total population"",""Active population"",""43.5"""
"From 15 to 24 years,""Males"",""2007"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.2"""
"From 15 to 24 years,""Males"",""2007"",""Ireland"",""Percentage of total population"",""Active population"",""74.5"""
"From 15 to 24 years,""Males"",""2007"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""66.8"""
"From 15 to 24 years,""Males"",""2007"",""Greece"",""Percentage of total population"",""Active population"",""34.4"""
"From 15 to 24 years,""Males"",""2007"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.1"""
"From 15 to 24 years,""Males"",""2007"",""Spain"",""Percentage of total population"",""Active population"",""52.2"""
"From 15 to 24 years,""Males"",""2007"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""44.2"""
"From 15 to 24 years,""Males"",""2007"",""France"",""Percentage of total population"",""Active population"",""41.5"""
"From 15 to 24 years,""Males"",""2007"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.7"""
"From 15 to 24 years,""Males"",""2007"",""Croatia"",""Percentage of total population"",""Active population"",""41.6"""
"From 15 to 24 years,""Males"",""2007"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.4"""
"From 15 to 24 years,""Males"",""2007"",""Italy"",""Percentage of total population"",""Active population"",""36.0"""
"From 15 to 24 years,""Males"",""2007"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.4"""
"From 15 to 24 years,""Males"",""2007"",""Cyprus"",""Percentage of total population"",""Active population"",""43.9"""
"From 15 to 24 years,""Males"",""2007"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.1"""
"From 15 to 24 years,""Males"",""2007"",""Latvia"",""Percentage of total population"",""Active population"",""49.2"""
"From 15 to 24 years,""Males"",""2007"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.8"""
"From 15 to 24 years,""Males"",""2007"",""Lithuania"",""Percentage of total population"",""Active population"",""31.6"""
"From 15 to 24 years,""Males"",""2007"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.4"""
"From 15 to 24 years,""Males"",""2007"",""Luxembourg"",""Percentage of total population"",""Active population"",""30.6"""
"From 15 to 24 years,""Males"",""2007"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.5"""
"From 15 to 24 years,""Males"",""2007"",""Hungary"",""Percentage of total population"",""Active population"",""29.5"""
"From 15 to 24 years,""Males"",""2007"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.4"""
"From 15 to 24 years,""Males"",""2007"",""Malta"",""Percentage of total population"",""Active population"",""57.5"""
"From 15 to 24 years,""Males"",""2007"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.9"""
"From 15 to 24 years,""Males"",""2007"",""Netherlands"",""Percentage of total population"",""Active population"",""70.6"""
"From 15 to 24 years,""Males"",""2007"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""63.9"""
"From 15 to 24 years,""Males"",""2007"",""Austria"",""Percentage of total population"",""Active population"",""62.9"""
"From 15 to 24 years,""Males"",""2007"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""57.0"""
"From 15 to 24 years,""Males"",""2007"",""Poland"",""Percentage of total population"",""Active population"",""36.5"""
"From 15 to 24 years,""Males"",""2007"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.2"""
"From 15 to 24 years,""Males"",""2007"",""Portugal"",""Percentage of total population"",""Active population"",""44.7"""
"From 15 to 24 years,""Males"",""2007"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.5"""
"From 15 to 24 years,""Males"",""2007"",""Romania"",""Percentage of total population"",""Active population"",""35.9"""
"From 15 to 24 years,""Males"",""2007"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.3"""
"From 15 to 24 years,""Males"",""2007"",""Slovenia"",""Percentage of total population"",""Active population"",""47.6"""
"From 15 to 24 years,""Males"",""2007"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.2"""
"From 15 to 24 years,""Males"",""2007"",""Slovakia"",""Percentage of total population"",""Active population"",""38.9"""
"From 15 to 24 years,""Males"",""2007"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.9"""
"From 15 to 24 years,""Males"",""2007"",""Finland"",""Percentage of total population"",""Active population"",""53.3"""
"From 15 to 24 years,""Males"",""2007"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""44.5"""
"From 15 to 24 years,""Males"",""2007"",""Sweden"",""Percentage of total population"",""Active population"",""51.8"""
"From 15 to 24 years,""Males"",""2007"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.0"""
"From 15 to 24 years,""Males"",""2007"",""United Kingdom"",""Percentage of total population"",""Active population"",""64.2"""
"From 15 to 24 years,""Males"",""2007"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""54.0"""
"From 15 to 24 years,""Males"",""2008"",""Belgium"",""Percentage of total population"",""Active population"",""36.0"""
"From 15 to 24 years,""Males"",""2008"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.7"""
"From 15 to 24 years,""Males"",""2008"",""Bulgaria"",""Percentage of total population"",""Active population"",""34.0"""
"From 15 to 24 years,""Males"",""2008"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.3"""
"From 15 to 24 years,""Males"",""2008"",""Czechia"",""Percentage of total population"",""Active population"",""35.9"""
"From 15 to 24 years,""Males"",""2008"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.4"""
"From 15 to 24 years,""Males"",""2008"",""Denmark"",""Percentage of total population"",""Active population"",""69.9"""
"From 15 to 24 years,""Males"",""2008"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""63.8"""
"From 15 to 24 years,""Males"",""2008"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""54.7"""
"From 15 to 24 years,""Males"",""2008"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.7"""
"From 15 to 24 years,""Males"",""2008"",""Estonia"",""Percentage of total population"",""Active population"",""44.5"""
"From 15 to 24 years,""Males"",""2008"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.9"""
"From 15 to 24 years,""Males"",""2008"",""Ireland"",""Percentage of total population"",""Active population"",""70.0"""
"From 15 to 24 years,""Males"",""2008"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""58.5"""
"From 15 to 24 years,""Males"",""2008"",""Greece"",""Percentage of total population"",""Active population"",""34.0"""
"From 15 to 24 years,""Males"",""2008"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.3"""
"From 15 to 24 years,""Males"",""2008"",""Spain"",""Percentage of total population"",""Active population"",""51.5"""
"From 15 to 24 years,""Males"",""2008"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.3"""
"From 15 to 24 years,""Males"",""2008"",""France"",""Percentage of total population"",""Active population"",""41.8"""
"From 15 to 24 years,""Males"",""2008"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.9"""
"From 15 to 24 years,""Males"",""2008"",""Croatia"",""Percentage of total population"",""Active population"",""43.1"""
"From 15 to 24 years,""Males"",""2008"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""34.2"""
"From 15 to 24 years,""Males"",""2008"",""Italy"",""Percentage of total population"",""Active population"",""35.7"""
"From 15 to 24 years,""Males"",""2008"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.0"""
"From 15 to 24 years,""Males"",""2008"",""Cyprus"",""Percentage of total population"",""Active population"",""43.1"""
"From 15 to 24 years,""Males"",""2008"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.4"""
"From 15 to 24 years,""Males"",""2008"",""Latvia"",""Percentage of total population"",""Active population"",""49.0"""
"From 15 to 24 years,""Males"",""2008"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.1"""
"From 15 to 24 years,""Males"",""2008"",""Lithuania"",""Percentage of total population"",""Active population"",""34.6"""
"From 15 to 24 years,""Males"",""2008"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.1"""
"From 15 to 24 years,""Males"",""2008"",""Luxembourg"",""Percentage of total population"",""Active population"",""30.9"""
"From 15 to 24 years,""Males"",""2008"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.0"""
"From 15 to 24 years,""Males"",""2008"",""Hungary"",""Percentage of total population"",""Active population"",""28.7"""
"From 15 to 24 years,""Males"",""2008"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""23.3"""
"From 15 to 24 years,""Males"",""2008"",""Malta"",""Percentage of total population"",""Active population"",""55.3"""
"From 15 to 24 years,""Males"",""2008"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.0"""
"From 15 to 24 years,""Males"",""2008"",""Netherlands"",""Percentage of total population"",""Active population"",""71.4"""
"From 15 to 24 years,""Males"",""2008"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""64.8"""
"From 15 to 24 years,""Males"",""2008"",""Austria"",""Percentage of total population"",""Active population"",""62.9"""
"From 15 to 24 years,""Males"",""2008"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""57.6"""
"From 15 to 24 years,""Males"",""2008"",""Poland"",""Percentage of total population"",""Active population"",""36.5"""
"From 15 to 24 years,""Males"",""2008"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.0"""
"From 15 to 24 years,""Males"",""2008"",""Portugal"",""Percentage of total population"",""Active population"",""43.6"""
"From 15 to 24 years,""Males"",""2008"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""37.7"""
"From 15 to 24 years,""Males"",""2008"",""Romania"",""Percentage of total population"",""Active population"",""35.9"""
"From 15 to 24 years,""Males"",""2008"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.1"""
"From 15 to 24 years,""Males"",""2008"",""Slovenia"",""Percentage of total population"",""Active population"",""47.7"""
"From 15 to 24 years,""Males"",""2008"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.0"""
"From 15 to 24 years,""Males"",""2008"",""Slovakia"",""Percentage of total population"",""Active population"",""37.8"""
"From 15 to 24 years,""Males"",""2008"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.8"""
"From 15 to 24 years,""Males"",""2008"",""Finland"",""Percentage of total population"",""Active population"",""53.4"""
"From 15 to 24 years,""Males"",""2008"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""44.3"""
"From 15 to 24 years,""Males"",""2008"",""Sweden"",""Percentage of total population"",""Active population"",""52.6"""
"From 15 to 24 years,""Males"",""2008"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.2"""
"From 15 to 24 years,""Males"",""2008"",""United Kingdom"",""Percentage of total population"",""Active population"",""64.3"""
"From 15 to 24 years,""Males"",""2008"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""53.3"""
"From 15 to 24 years,""Males"",""2009"",""Belgium"",""Percentage of total population"",""Active population"",""34.9"""
"From 15 to 24 years,""Males"",""2009"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.4"""
"From 15 to 24 years,""Males"",""2009"",""Bulgaria"",""Percentage of total population"",""Active population"",""34.0"""
"From 15 to 24 years,""Males"",""2009"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.0"""
"From 15 to 24 years,""Males"",""2009"",""Czechia"",""Percentage of total population"",""Active population"",""37.3"""
"From 15 to 24 years,""Males"",""2009"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.1"""
"From 15 to 24 years,""Males"",""2009"",""Denmark"",""Percentage of total population"",""Active population"",""68.5"""
"From 15 to 24 years,""Males"",""2009"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""58.0"""
"From 15 to 24 years,""Males"",""2009"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""54.3"""
"From 15 to 24 years,""Males"",""2009"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""47.5"""
"From 15 to 24 years,""Males"",""2009"",""Estonia"",""Percentage of total population"",""Active population"",""43.8"""
"From 15 to 24 years,""Males"",""2009"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.0"""
"From 15 to 24 years,""Males"",""2009"",""Ireland"",""Percentage of total population"",""Active population"",""62.7"""
"From 15 to 24 years,""Males"",""2009"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.9"""
"From 15 to 24 years,""Males"",""2009"",""Greece"",""Percentage of total population"",""Active population"",""33.9"""
"From 15 to 24 years,""Males"",""2009"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.3"""
"From 15 to 24 years,""Males"",""2009"",""Spain"",""Percentage of total population"",""Active population"",""48.2"""
