"UNIT,""TIME"",""REASON"",""GEO"",""SEX"",""AGE"",""Value"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Croatia"",""Females"",""From 15 to 74 years"",""7.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Italy"",""Males"",""From 15 to 74 years"",""6.3"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Italy"",""Females"",""From 15 to 74 years"",""9.9"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Cyprus"",""Males"",""From 15 to 74 years"",""7.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Cyprus"",""Females"",""From 15 to 74 years"",""18.2"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Latvia"",""Males"",""From 15 to 74 years"",""5.1"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Latvia"",""Females"",""From 15 to 74 years"",""2.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Lithuania"",""Males"",""From 15 to 74 years"",""6.1"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Lithuania"",""Females"",""From 15 to 74 years"",""2.5"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Luxembourg"",""Males"",""From 15 to 74 years"",""2.3"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Luxembourg"",""Females"",""From 15 to 74 years"",""3.2"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Hungary"",""Males"",""From 15 to 74 years"",""3.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Hungary"",""Females"",""From 15 to 74 years"",""3.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Malta"",""Males"",""From 15 to 74 years"",""2.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Malta"",""Females"",""From 15 to 74 years"",""2.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Netherlands"",""Males"",""From 15 to 74 years"",""4.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Netherlands"",""Females"",""From 15 to 74 years"",""4.4"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Austria"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Austria"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Poland"",""Males"",""From 15 to 74 years"",""13.5"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Poland"",""Females"",""From 15 to 74 years"",""11.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Portugal"",""Males"",""From 15 to 74 years"",""13.5"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Portugal"",""Females"",""From 15 to 74 years"",""14.5"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Romania"",""Males"",""From 15 to 74 years"",""2.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Romania"",""Females"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Slovenia"",""Males"",""From 15 to 74 years"",""6.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Slovenia"",""Females"",""From 15 to 74 years"",""8.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Slovakia"",""Males"",""From 15 to 74 years"",""3.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Slovakia"",""Females"",""From 15 to 74 years"",""2.9"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Finland"",""Males"",""From 15 to 74 years"",""8.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Finland"",""Females"",""From 15 to 74 years"",""15.2"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Sweden"",""Males"",""From 15 to 74 years"",""7.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Sweden"",""Females"",""From 15 to 74 years"",""11.1"""
"Percentage of employees,""2005"",""Could not find permanent job"",""United Kingdom"",""Males"",""From 15 to 74 years"",""1.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""United Kingdom"",""Females"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Belgium"",""Males"",""From 15 to 74 years"",""0.5"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Belgium"",""Females"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Bulgaria"",""Males"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Bulgaria"",""Females"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Czechia"",""Males"",""From 15 to 74 years"",""1.9"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Czechia"",""Females"",""From 15 to 74 years"",""3.0"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Denmark"",""Males"",""From 15 to 74 years"",""1.6"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Denmark"",""Females"",""From 15 to 74 years"",""2.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Germany (until 1990 former territory of the FRG)"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Germany (until 1990 former territory of the FRG)"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Estonia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Estonia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Ireland"",""Males"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Ireland"",""Females"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Greece"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Greece"",""Females"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Spain"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Spain"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""France"",""Males"",""From 15 to 74 years"",""3.1"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""France"",""Females"",""From 15 to 74 years"",""3.1"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Croatia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Croatia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Italy"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Italy"",""Females"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Cyprus"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Cyprus"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Latvia"",""Males"",""From 15 to 74 years"",""0.9"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Latvia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Lithuania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Lithuania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Luxembourg"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Luxembourg"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Hungary"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Hungary"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Malta"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Malta"",""Females"",""From 15 to 74 years"",""2.2"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Netherlands"",""Males"",""From 15 to 74 years"",""1.9"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Netherlands"",""Females"",""From 15 to 74 years"",""2.0"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Austria"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Austria"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Poland"",""Males"",""From 15 to 74 years"",""1.7"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Poland"",""Females"",""From 15 to 74 years"",""1.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Portugal"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Portugal"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Romania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Romania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Slovenia"",""Males"",""From 15 to 74 years"",""5.7"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Slovenia"",""Females"",""From 15 to 74 years"",""7.1"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Slovakia"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Slovakia"",""Females"",""From 15 to 74 years"",""1.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Finland"",""Males"",""From 15 to 74 years"",""4.7"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Finland"",""Females"",""From 15 to 74 years"",""5.4"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Sweden"",""Males"",""From 15 to 74 years"",""4.5"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""Sweden"",""Females"",""From 15 to 74 years"",""5.5"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""United Kingdom"",""Males"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Did not want a permanent job"",""United Kingdom"",""Females"",""From 15 to 74 years"",""1.6"""
"Percentage of employees,""2005"",""In education or training"",""Belgium"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""In education or training"",""Belgium"",""Females"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""In education or training"",""Bulgaria"",""Males"",""From 15 to 74 years"",""0.5"""
"Percentage of employees,""2005"",""In education or training"",""Bulgaria"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""In education or training"",""Czechia"",""Males"",""From 15 to 74 years"",""0.1"""
"Percentage of employees,""2005"",""In education or training"",""Czechia"",""Females"",""From 15 to 74 years"",""0.0"""
"Percentage of employees,""2005"",""In education or training"",""Denmark"",""Males"",""From 15 to 74 years"",""3.3"""
"Percentage of employees,""2005"",""In education or training"",""Denmark"",""Females"",""From 15 to 74 years"",""2.5"""
"Percentage of employees,""2005"",""In education or training"",""Germany (until 1990 former territory of the FRG)"",""Males"",""From 15 to 74 years"",""6.3"""
"Percentage of employees,""2005"",""In education or training"",""Germany (until 1990 former territory of the FRG)"",""Females"",""From 15 to 74 years"",""5.9"""
"Percentage of employees,""2005"",""In education or training"",""Estonia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Estonia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Ireland"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Ireland"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Greece"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""In education or training"",""Greece"",""Females"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""In education or training"",""Spain"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Spain"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""France"",""Males"",""From 15 to 74 years"",""2.4"""
"Percentage of employees,""2005"",""In education or training"",""France"",""Females"",""From 15 to 74 years"",""2.2"""
"Percentage of employees,""2005"",""In education or training"",""Croatia"",""Males"",""From 15 to 74 years"",""5.3"""
"Percentage of employees,""2005"",""In education or training"",""Croatia"",""Females"",""From 15 to 74 years"",""4.8"""
"Percentage of employees,""2005"",""In education or training"",""Italy"",""Males"",""From 15 to 74 years"",""2.2"""
"Percentage of employees,""2005"",""In education or training"",""Italy"",""Females"",""From 15 to 74 years"",""2.4"""
"Percentage of employees,""2005"",""In education or training"",""Cyprus"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""In education or training"",""Cyprus"",""Females"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""In education or training"",""Latvia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Latvia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Lithuania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Lithuania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Luxembourg"",""Males"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""In education or training"",""Luxembourg"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Hungary"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Hungary"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Malta"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Malta"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Netherlands"",""Males"",""From 15 to 74 years"",""0.1"""
"Percentage of employees,""2005"",""In education or training"",""Netherlands"",""Females"",""From 15 to 74 years"",""0.1"""
"Percentage of employees,""2005"",""In education or training"",""Austria"",""Males"",""From 15 to 74 years"",""9.2"""
"Percentage of employees,""2005"",""In education or training"",""Austria"",""Females"",""From 15 to 74 years"",""8.8"""
"Percentage of employees,""2005"",""In education or training"",""Poland"",""Males"",""From 15 to 74 years"",""1.9"""
"Percentage of employees,""2005"",""In education or training"",""Poland"",""Females"",""From 15 to 74 years"",""2.3"""
"Percentage of employees,""2005"",""In education or training"",""Portugal"",""Males"",""From 15 to 74 years"",""1.0"""
"Percentage of employees,""2005"",""In education or training"",""Portugal"",""Females"",""From 15 to 74 years"",""1.3"""
"Percentage of employees,""2005"",""In education or training"",""Romania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Romania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Slovenia"",""Males"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""In education or training"",""Slovenia"",""Females"",""From 15 to 74 years"",""1.0"""
"Percentage of employees,""2005"",""In education or training"",""Slovakia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Slovakia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""Finland"",""Males"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""In education or training"",""Finland"",""Females"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""In education or training"",""Sweden"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""In education or training"",""Sweden"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""In education or training"",""United Kingdom"",""Males"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""In education or training"",""United Kingdom"",""Females"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""Probationary period"",""Belgium"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Belgium"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Bulgaria"",""Males"",""From 15 to 74 years"",""1.0"""
"Percentage of employees,""2005"",""Probationary period"",""Bulgaria"",""Females"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""Probationary period"",""Czechia"",""Males"",""From 15 to 74 years"",""0.5"""
"Percentage of employees,""2005"",""Probationary period"",""Czechia"",""Females"",""From 15 to 74 years"",""0.5"""
"Percentage of employees,""2005"",""Probationary period"",""Denmark"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Denmark"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Germany (until 1990 former territory of the FRG)"",""Males"",""From 15 to 74 years"",""1.3"""
"Percentage of employees,""2005"",""Probationary period"",""Germany (until 1990 former territory of the FRG)"",""Females"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Probationary period"",""Estonia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Estonia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Ireland"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Ireland"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Greece"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Probationary period"",""Greece"",""Females"",""From 15 to 74 years"",""0.6"""
"Percentage of employees,""2005"",""Probationary period"",""Spain"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Spain"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""France"",""Males"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""Probationary period"",""France"",""Females"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""Probationary period"",""Croatia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Croatia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Italy"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Probationary period"",""Italy"",""Females"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""Probationary period"",""Cyprus"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Cyprus"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Latvia"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Probationary period"",""Latvia"",""Females"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Probationary period"",""Lithuania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Lithuania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Luxembourg"",""Males"",""From 15 to 74 years"",""0.6"""
"Percentage of employees,""2005"",""Probationary period"",""Luxembourg"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Hungary"",""Males"",""From 15 to 74 years"",""1.3"""
"Percentage of employees,""2005"",""Probationary period"",""Hungary"",""Females"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""Probationary period"",""Malta"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Malta"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Netherlands"",""Males"",""From 15 to 74 years"",""4.3"""
"Percentage of employees,""2005"",""Probationary period"",""Netherlands"",""Females"",""From 15 to 74 years"",""5.0"""
"Percentage of employees,""2005"",""Probationary period"",""Austria"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Austria"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Poland"",""Males"",""From 15 to 74 years"",""2.5"""
"Percentage of employees,""2005"",""Probationary period"",""Poland"",""Females"",""From 15 to 74 years"",""2.3"""
"Percentage of employees,""2005"",""Probationary period"",""Portugal"",""Males"",""From 15 to 74 years"",""1.3"""
"Percentage of employees,""2005"",""Probationary period"",""Portugal"",""Females"",""From 15 to 74 years"",""1.2"""
"Percentage of employees,""2005"",""Probationary period"",""Romania"",""Males"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""Probationary period"",""Romania"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Probationary period"",""Slovenia"",""Males"",""From 15 to 74 years"",""1.1"""
"Percentage of employees,""2005"",""Probationary period"",""Slovenia"",""Females"",""From 15 to 74 years"",""0.9"""
"Percentage of employees,""2005"",""Probationary period"",""Slovakia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Slovakia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""Finland"",""Males"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Probationary period"",""Finland"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""Probationary period"",""Sweden"",""Males"",""From 15 to 74 years"",""1.6"""
"Percentage of employees,""2005"",""Probationary period"",""Sweden"",""Females"",""From 15 to 74 years"",""0.9"""
"Percentage of employees,""2005"",""Probationary period"",""United Kingdom"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Probationary period"",""United Kingdom"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Belgium"",""Males"",""From 15 to 74 years"",""1.5"""
"Percentage of employees,""2005"",""No response"",""Belgium"",""Females"",""From 15 to 74 years"",""2.0"""
"Percentage of employees,""2005"",""No response"",""Bulgaria"",""Males"",""From 15 to 74 years"",""0.5"""
"Percentage of employees,""2005"",""No response"",""Bulgaria"",""Females"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""No response"",""Czechia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Czechia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Denmark"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Denmark"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Germany (until 1990 former territory of the FRG)"",""Males"",""From 15 to 74 years"",""4.3"""
"Percentage of employees,""2005"",""No response"",""Germany (until 1990 former territory of the FRG)"",""Females"",""From 15 to 74 years"",""4.2"""
"Percentage of employees,""2005"",""No response"",""Estonia"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""No response"",""Estonia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Ireland"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""No response"",""Ireland"",""Females"",""From 15 to 74 years"",""1.0"""
"Percentage of employees,""2005"",""No response"",""Greece"",""Males"",""From 15 to 74 years"",""1.5"""
"Percentage of employees,""2005"",""No response"",""Greece"",""Females"",""From 15 to 74 years"",""1.8"""
"Percentage of employees,""2005"",""No response"",""Spain"",""Males"",""From 15 to 74 years"",""31.8"""
"Percentage of employees,""2005"",""No response"",""Spain"",""Females"",""From 15 to 74 years"",""35.6"""
"Percentage of employees,""2005"",""No response"",""France"",""Males"",""From 15 to 74 years"",""0.1"""
"Percentage of employees,""2005"",""No response"",""France"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Croatia"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Croatia"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Italy"",""Males"",""From 15 to 74 years"",""0.4"""
"Percentage of employees,""2005"",""No response"",""Italy"",""Females"",""From 15 to 74 years"",""0.3"""
"Percentage of employees,""2005"",""No response"",""Cyprus"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Cyprus"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Latvia"",""Males"",""From 15 to 74 years"",""4.1"""
"Percentage of employees,""2005"",""No response"",""Latvia"",""Females"",""From 15 to 74 years"",""2.5"""
"Percentage of employees,""2005"",""No response"",""Lithuania"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Lithuania"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Luxembourg"",""Males"",""From 15 to 74 years"",""0.7"""
"Percentage of employees,""2005"",""No response"",""Luxembourg"",""Females"",""From 15 to 74 years"",""1.0"""
"Percentage of employees,""2005"",""No response"",""Hungary"",""Males"",""From 15 to 74 years"",""2.1"""
"Percentage of employees,""2005"",""No response"",""Hungary"",""Females"",""From 15 to 74 years"",""1.9"""
"Percentage of employees,""2005"",""No response"",""Malta"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""No response"",""Malta"",""Females"",""From 15 to 74 years"","":"""
